gene,"mRNA (scaled to molecules/cell), V1","mRNA (scaled to molecules/cell), V2","mRNA (scaled to molecules/cell), V3","mRNA (scaled to molecules/cell), V4","mRNA (scaled to molecules/cell), V5","mRNA (scaled to molecules/cell), V6","protein (scaled to molecules/cell), V1","protein (scaled to molecules/cell), V2","protein (scaled to molecules/cell), V3","protein (scaled to molecules/cell), V4","protein (scaled to molecules/cell), V5","protein (scaled to molecules/cell), V6","protein SEM (scaled to molecules/cell), V1","protein SEM (scaled to molecules/cell), V2","protein SEM (scaled to molecules/cell), V3","protein SEM (scaled to molecules/cell), V4","protein SEM (scaled to molecules/cell), V5","protein SEM (scaled to molecules/cell), V6","mRNA (mean-normalized), V1","mRNA (mean-normalized), V2","mRNA (mean-normalized), V3","mRNA (mean-normalized), V4","mRNA (mean-normalized), V5","mRNA (mean-normalized), V6","protein (mean-normalized), V1","protein (mean-normalized), V2","protein (mean-normalized), V3","protein (mean-normalized), V4","protein (mean-normalized), V5","protein (mean-normalized), V6","protein SEM (mean-normalized), V1","protein SEM (mean-normalized), V2","protein SEM (mean-normalized), V3","protein SEM (mean-normalized), V4","protein SEM (mean-normalized), V5","protein SEM (mean-normalized), V6","protein model MAP (mean-normalized), V1","protein model MAP (mean-normalized), V2","protein model MAP (mean-normalized), V3","protein model MAP (mean-normalized), V4","protein model MAP (mean-normalized), V5","protein model MAP (mean-normalized), V6","protein model MAP (scaled to molecules/cell), V1","protein model MAP (scaled to molecules/cell), V2","protein model MAP (scaled to molecules/cell), V3","protein model MAP (scaled to molecules/cell), V4","protein model MAP (scaled to molecules/cell), V5","protein model MAP (scaled to molecules/cell), V6",beta MAP (proteins/(mRNA*hour)),delta MAP (1/hour),half life MAP (hours),beta HDI68 lower bound (proteins/(mRNA*hour)),beta HDI68 upper bound (proteins/(mRNA*hour)),delta HDI68 lower bound (1/hour),delta HDI68 upper bound (1/hour),filter1_model_fits_BH_FDR=0.25,filter2_confidence_intervals<4fold,filter_passed_both
Mrpl13,43.367449696667435,15.68710139490658,11.25184881835804,3.2697680326852425,1.6270616047811732,1.1807495673585595,38363.804245492756,503373.3684465429,511493.9447789523,493310.2584398843,942037.0881601635,38317.86982150834,16660.991429651003,458050.6790885076,458705.879833027,415366.9774949091,492737.29194142256,23469.409751828207,3.406534998511674,1.2322297091649603,0.88383838721889,0.2568419244909595,0.12780650788066883,0.09274847273284646,0.09109310199456129,1.1952370859736632,1.2145190237963364,1.1713426906120057,2.2368240648218616,0.09098403280157152,0.03956076362812795,1.0876204289304718,1.089176173190491,0.9862699278724882,1.1699822078155173,0.05572704215136886,0.5595511777736397,1.3423435205196408,1.369575091472477,1.1774249529479193,0.8910051383578392,0.6601001189284841,38591.9545286949,92580.73642504029,94458.88375043462,81206.38835202082,61452.16228684192,45526.76285202925,143.63917275204201,0.01941883100247752,35.69458843694099,23.194303049737673,304.77637842283355,0.007574455639529891,0.09802932294157007,True,False,False
Mrpl15,118.05583528537241,54.65183711773907,52.50862781900418,26.975586269653245,9.355604227491746,2.361499134717119,4496.711091630846,6855.3908108168725,2430.522629705013,6808.823446807663,6748.74520864316,0.0,3894.2660388315553,6855.3908108168725,2430.522629705013,6808.823446807663,6748.74520864316,2496.392525844049,2.6840124396829377,1.2425155463171957,1.193789446461619,0.6132929299129745,0.21270069426588883,0.05368894335938497,0.9868352562343388,1.5044643094750059,0.5333954913252876,1.4942447699809709,1.4810601729843975,0.0,0.8546244012490606,1.5044643094750059,0.5333954913252876,1.4942447699809709,1.4810601729843975,0.5478511088888611,1.0966373204212998,1.6737692729469198,1.3848444288439,1.0258906022426302,0.5697587861279395,0.2490995894173108,3737.475601568114,5704.412665702683,4719.721067657253,3496.3620372566133,1941.8084012626487,848.9622051620188,5.333886025329062,0.06571986516866081,10.546996388094838,1.922819622309743,11.706800981702553,0.03422612128629834,0.3442931259700556,True,True,True
Mrpl16,26.84651647888936,8.602603990755224,6.251027121310022,1.0899226775617474,1.22029620358588,0.5903747836792798,6809.129156620202,11307.310403400083,9503.19614538082,49469.25239878298,9048.952044786529,10062.373860379812,5896.878827282404,7458.071324406083,6206.268577694516,37014.577544198,5406.010517099748,6515.478455044347,3.6115789634428053,1.157281751182566,0.8409313762918296,0.14662393227652412,0.16416268015649113,0.0794212966497839,0.4246848654177654,0.7052360862087713,0.5927136177341851,3.085393493655307,0.5643824478752404,0.6275894891087317,0.36778788205456026,0.46515933885642985,0.38708449715660403,2.3085963742617213,0.3371724630409428,0.406369893589492,0.512784329033503,1.2245190834686934,1.3034780104414927,1.183214820535898,0.9752028426469188,0.8008009138734944,5049.315611117825,12057.668251921556,12835.165768962132,11650.950948322648,9602.6860779161,7885.374663145511,27.619951102905635,0.01310098584101151,52.90801692114708,11.09507406513771,46.10570979266491,0.006303646733645458,0.06368714869195076,True,True,True
Mrpl18,170.71630991703998,69.83290298377767,51.25842239474218,31.335276979900236,13.830023640639972,5.313373053113518,312333.1262041291,444968.8238634234,360700.3140223336,413221.2484477141,481088.96551940177,378178.3411376971,31848.260291515253,40088.18858321933,47721.02791133524,39629.640843854686,35047.432898103885,47139.4524337068,2.9925177626498893,1.2241138687798117,0.8985183640404245,0.5492818641960693,0.24242904162229678,0.0931390987115074,0.7839389058419731,1.1168471854160638,0.9053378773749363,1.0371625236032123,1.2075067471243486,0.9492067606394655,0.07993737529327352,0.10061914045766746,0.11977714583504155,0.09946821094390564,0.08796712194003042,0.11831742348942462,0.7665980977228448,1.0231898514514062,1.0900441404605818,1.0966456114316394,1.0505390543205602,0.9729832446129676,310364.4131731502,414247.98568343103,441314.5701663247,443987.2374610883,425320.56638047716,393921.37110518717,61.83270192935622,0.005429716648164429,127.65807600554456,38.690370711466215,76.16235579518955,0.002863657600308536,0.01075784939188957,True,True,True
Mrpl19,24.093027609259682,7.590532933019313,5.000821697048019,4.359690710246991,2.847357808367053,1.1807495673585595,70557.90452170183,206839.65557816075,296642.9418046795,270533.6037030996,260471.07245933192,241252.03133832023,36431.50903468988,49240.4474324859,39656.215206092995,35308.897189069045,25407.640391121735,43462.203759508564,3.2072592142700422,1.0104502881692607,0.6657084251468072,0.5803611911536267,0.37903972532282315,0.15718115593744053,0.31445317138941276,0.9218157215204911,1.3220391741094837,1.2056785165109434,1.160833153213135,1.0751802632565344,0.16236314885083783,0.21944833765600888,0.17673459439291503,0.15736004030491696,0.11323342370595199,0.19369662265900706,0.3165676952054877,1.0529607478220673,1.1827324317604662,1.2085852063908002,1.174225250648575,1.0649286681726038,70980.19994081766,236092.83430429964,265189.99175943737,270986.6511788228,263282.5279676477,238776.25839406802,655.56489943973,0.010289171155108693,67.3666683264171,460.90233825395165,809.2338628674748,0.005801511682002621,0.019914898676019158,True,True,True
Mrpl20,172.43724046055854,84.0018977920804,46.25760069769416,40.5996197391751,27.253281880084646,14.759369591981995,0.0,0.0,0.0,0.0,16453.943772435043,0.0,850.3411646263688,1241.9898241723931,1340.2941389354207,1364.9686477470434,16453.943772435043,1372.7165156178362,2.6851784294623524,1.308070596483407,0.7203195276170142,0.632213916650692,0.4243858486775012,0.22983168110903232,0.0,0.0,0.0,0.0,6.0,0.0,0.3100804924534608,0.45289682814635845,0.48874391117616006,0.49774157489236626,6.0,0.5005668675922621,0.04078635712064275,2.2397066570258266,1.4579152630236965,1.0272194936859864,0.7600667403498067,0.4743054887940407,26.14950277728128,1435.9511263767722,934.7184183846553,658.5849018966238,487.30430322342033,304.09317164101924,1.5129036525645565,0.1045286174534442,6.631171419335616,0.5729835377643491,3.968508603603075,0.04982277473628085,0.7463996832299468,True,True,True
Mrpl21,65.73954676240857,20.74745668358612,17.502875939668062,8.719381420493981,6.101481017929399,4.132623485754959,128439.5734262558,119832.24499193794,202629.0535699649,144570.21625279664,191133.57031330586,160309.1708648586,52795.3460437321,42269.520478728846,30686.50451296041,48581.08563194815,42494.83855697372,35881.03033008997,3.2082843964812016,1.0125372750924058,0.8541921345112405,0.42553161279680857,0.2977703271365227,0.20168425398182066,0.8138411507098582,0.7593019001451179,1.283933430527254,0.9160509336408106,1.2110937513536324,1.0157788336233273,0.33453104857145777,0.26783548301111354,0.19444116387096122,0.30782791922101305,0.2692631825836275,0.22735562127401415,0.6449258076610712,1.0586233730790366,1.1357991282909463,1.1303324613284935,1.059227998272665,0.971091231367788,103021.08131876096,169105.53633981908,181433.66720243343,180560.41645794254,169202.11976150915,155123.06613608534,105.84007101658658,0.007854121275255933,88.25267095679759,47.5916057744066,157.93141542040166,0.0033560894123405307,0.017496202735523277,True,True,True
Mrpl22,30.63256367463017,14.67503033717067,10.001643394096037,3.2697680326852425,1.22029620358588,0.0,244084.59287740302,387974.58365792956,426164.20194560813,317764.7285112912,390909.1208429604,230750.157373588,17512.9398757347,10037.596409493031,28576.67681479312,20702.83478842466,38185.10115662496,27264.293452833168,3.073537265495022,1.4724282659671508,1.0035210899897826,0.32807420249665964,0.12243917605138493,0.0,0.7331161485796243,1.1652944955069169,1.2799982772767529,0.9544168731602669,1.1741084750112851,0.693065730465154,0.052600694212820855,0.030148252841260985,0.08583099407748526,0.06218164909898033,0.11469021441729803,0.08188920723859489,0.7729766497470332,1.197793856662159,1.2488984721258969,1.1315867105945372,0.9252584915067752,0.7234858193635997,248335.67043620945,384817.4980911989,401235.97457134275,363547.0030358156,297259.5457965355,232435.65774147038,518.9979314259253,0.013966452302723512,49.62943813761344,451.7692000687223,583.2033156334228,0.01185497082764187,0.01824638770876985,True,True,True
Mrpl23,131.47909352481713,64.26651216623017,43.75718984917015,21.525972881844517,11.796196634663506,4.722998269434238,192640.34539052288,362554.3263185572,332159.9228331442,286334.2987434098,331208.94958200725,281879.7385817054,41036.109852458416,101628.30583027004,43578.47422570413,20529.222016481097,16736.49595926872,38041.608614464334,2.842299945908301,1.3893060802043984,0.945937905465709,0.46534600990492586,0.2550088242759232,0.10210123424074317,0.6468863748590212,1.2174576066411273,1.1153931847422631,0.9615107164412129,1.11219981609579,0.9465523012205862,0.13779927712940723,0.34126790111559646,0.1463365379490224,0.06893713765927865,0.056201161688047015,0.12774374049490875,0.6693639080029443,0.9892572169408356,1.107335410863976,1.1298758970459415,1.087686354064994,1.0164812130813086,191158.42024222648,282514.2565093304,316235.2873948252,322672.4491218321,310623.86644422525,290288.94533356023,61.615014560671064,0.0052096626757893024,133.05029974036242,38.827765805205935,75.63124081805826,0.0026759370711579964,0.01090045433729252,True,True,True
Mrpl24,92.58606324129791,45.037162069247934,38.756368152122135,25.885663592091497,20.338270059764668,5.313373053113518,96279.75221646944,116211.05182992214,157949.80904358186,73449.34545912857,95172.27949586898,74462.97947612344,13225.380336372695,58861.457914779785,43366.15971950432,20168.33924338321,40680.147017218136,26631.460364393297,2.4373637015912095,1.1856206021437328,1.0202762881633443,0.6814500435830441,0.5354127766253081,0.1398765878933617,0.9415725658887927,1.136491689448053,1.5446779157515347,0.7183014816169625,0.9307419820206173,0.7282143652740392,0.12933825660639262,0.5756385188462704,0.42410148904446576,0.19723726426312482,0.3978334958903571,0.260443674722899,1.043409011536847,1.2140228690319352,1.14449392807273,1.024923870952626,0.8765459610480123,0.696604359357849,96151.02491834636,111873.23651709687,105466.08566752927,94447.60354352553,80774.45336480784,64192.68223128619,41.95584893394404,0.01920695741353529,36.08833849298167,12.734782471543445,82.68373758569672,0.006760584004710115,0.06511757913150751,True,True,True
