,Pzero_mode,beta_HDI68_left,beta_HDI68_right,beta_HDI95_left,beta_HDI95_right,beta_mode,beta_p16,beta_p50,beta_p84,delta_HDI68_left,delta_HDI68_right,delta_HDI95_left,delta_HDI95_right,delta_mode,delta_p16,delta_p50,delta_p84,model_HDI0.68_left_tp1,model_HDI0.68_left_tp2,model_HDI0.68_left_tp3,model_HDI0.68_left_tp4,model_HDI0.68_left_tp5,model_HDI0.68_left_tp6,model_HDI0.68_right_tp1,model_HDI0.68_right_tp2,model_HDI0.68_right_tp3,model_HDI0.68_right_tp4,model_HDI0.68_right_tp5,model_HDI0.68_right_tp6,model_HDI0.95_left_tp1,model_HDI0.95_left_tp2,model_HDI0.95_left_tp3,model_HDI0.95_left_tp4,model_HDI0.95_left_tp5,model_HDI0.95_left_tp6,model_HDI0.95_right_tp1,model_HDI0.95_right_tp2,model_HDI0.95_right_tp3,model_HDI0.95_right_tp4,model_HDI0.95_right_tp5,model_HDI0.95_right_tp6,pp_pval,"protein model MAP (mean-normalized), V1","protein model MAP (mean-normalized), V2","protein model MAP (mean-normalized), V3","protein model MAP (mean-normalized), V4","protein model MAP (mean-normalized), V5","protein model MAP (mean-normalized), V6","protein model MAP (scaled to molecules/cell), V1","protein model MAP (scaled to molecules/cell), V2","protein model MAP (scaled to molecules/cell), V3","protein model MAP (scaled to molecules/cell), V4","protein model MAP (scaled to molecules/cell), V5","protein model MAP (scaled to molecules/cell), V6"
Psmd3,284895.82415669103,84.43998421977297,148.58725481558733,58.782737871206365,188.24913900832686,122.85649524629477,81.58506924019477,109.32866466857104,143.93314307056545,0.0016789313225739106,0.005359823396196392,0.0008612311594902389,0.008487807494585525,0.00363167024094769,0.001533966843397616,0.002896177687365155,0.004994029861876121,267574.122258911,347883.86015796626,384703.24935374776,404181.9274633181,406521.64251855115,390245.9734820064,319012.03467433085,385859.47830157296,424421.11813510867,446224.5869795836,452770.5630472981,444429.4658113512,234479.9496862732,331236.1435575513,365515.4371012157,382537.87438663724,384945.9464773163,365217.4043354807,338642.2100022036,407049.65065929416,445732.47240296094,468463.76980228274,478039.3065077578,471825.5602490286,0.5925,0.7281485363366996,0.9449105686529631,1.048726370166476,1.0986500675885924,1.1078427749087503,1.071721682346518,284895.82415669103,369706.2642810471,410325.2957790425,429858.4709654942,433455.21503282915,419322.4551336885
Psmd4,244145.49423848375,60.736014430559756,205.91468198087165,29.752203916157743,366.09797994666184,132.2499277431629,57.031396945024575,105.76624673762653,195.40795214834918,0.00484995781908087,0.02418861692831839,0.0019085673265179601,0.044485967633740624,0.013473615980824173,0.00424339413704964,0.010095006159412421,0.021452607193850337,198100.14307585653,294546.79281387787,321714.00127987465,341935.1477094475,339711.080648429,315763.43568477465,300987.55176585936,367123.9950095403,379626.2979359211,392171.2951430963,396271.8532095734,389725.8709073748,144890.29232670946,254205.0276150822,303127.6470951856,315212.0428747843,308426.9218611164,284392.014367024,349655.6060302056,400930.6606089226,416299.6203895497,416675.587993425,419993.4869766233,428474.36932462186,0.7765,0.7201563795273422,0.9746930706616834,1.0635314602875943,1.0994097662942122,1.0919280842269243,1.0502812390022442,244145.49423848375,330437.8441022852,360555.59791126265,372718.9654817539,370182.54559021303,356063.54324585194
Psmd5,30983.737951614083,42.884674559626426,167.70160389909572,12.110768599384322,250.99306897518312,100.6751915394487,32.02973645152726,75.63439610205343,137.2822273094195,0.0027315806066007175,0.010392344792605411,0.0012902938652523063,0.01821261972052484,0.006507420232268606,0.002511544694896688,0.005155377933411139,0.00971382980730041,26037.15456739845,34179.114073601,36208.05331961777,35716.52141771761,35548.23036032288,32221.851233353038,42222.35056466632,44030.18342402753,44355.758707358225,44308.202775519974,45548.87801700241,43453.06029843103,16094.351933427588,29031.57251980939,32402.17988817189,32483.139590353687,30131.828313237824,26977.47237145672,48767.23383834287,48997.407192254366,48566.167959770544,49468.140640841,49919.13766705184,49385.24564658164,0.531,0.8026667335900193,1.0002618649837032,1.0478178940862317,1.0740311927991308,1.0748938991766945,1.0003284153642211,30983.737951614083,38611.107463035405,40446.81770499578,41458.677227982684,41491.978556184076,38613.67637422141
Psmd6,181549.67609335628,53.335744830910286,153.86620611335096,21.68061719601085,236.1668030583713,104.56836076406987,44.59929109243318,85.56533130025244,135.81792631691818,0.0020477654818298204,0.007189110223327874,0.0009819739819418329,0.01189626122918491,0.004515870073809976,0.0018003648450847197,0.0035442299432120847,0.006439835969034572,160570.80517299913,199815.3185693108,213692.49688289745,216319.60436465673,210070.80471170886,200520.9179634989,217803.68185592056,235414.4484600236,244911.37827957023,249143.58083501025,246229.31673315927,240312.79410015768,136141.74961015407,182723.42127333593,197759.98184386143,200277.7280223861,192507.3494761485,176975.5639015677,242312.90728691386,251041.37362256466,258796.32868578512,263227.44902312226,264286.0851646797,257838.34158578914,0.375,0.8263515608929819,0.9811706083369764,1.0492381736982352,1.072782120863526,1.0590506032936822,1.0114069329145978,181549.67609335628,215563.46543764634,230517.92916546436,235690.54114334768,232673.72277565268,222206.3946618481
Psmd7,233910.01809212661,57.2615327743342,158.7645636641593,23.285757716948,233.92312122034429,110.45794768818124,47.96759806264641,88.59037164935759,139.4745152894551,0.0026656321927718313,0.009156306430087089,0.0012439607104910051,0.014532848056303999,0.0062513677029325705,0.0024108771914991864,0.004773572980645743,0.008476295488761297,201325.2438665616,267435.8096135274,300264.5700287612,309522.3354009548,295233.7746669091,266585.2412918784,301738.0607944544,326306.8114729286,339713.48161802854,343655.3082971681,331519.8632590048,316921.1687561501,151849.8175691007,238028.7952387153,281710.3675888563,291089.08714058483,276350.4960873293,242014.81591872108,351050.473571838,354119.0912011914,360366.4620466112,359822.0788512511,350239.0376478285,343326.1450474485,0.72,0.786975403118727,0.9779127704530265,1.077850251534859,1.1103055858352604,1.060603140960411,0.9863528480977155,233910.01809212661,290661.68132154405,320365.7583680363,330012.3468170626,315239.45844745624,293170.29684719385
Psmd9,20194.447245048395,43.179604207043226,155.26137076140094,11.90401598698568,248.59624439473765,102.06559015982643,32.80876481740715,73.52182070523456,127.72297138440925,0.00409772631975577,0.01981540495541506,0.0017166260105856593,0.03936302013746301,0.010709515054517435,0.003828111022023726,0.008737791423942369,0.01866269764859259,12372.676768433306,32377.408294231944,39416.962675641065,41491.487273295264,36596.17399516561,30937.287860468885,47643.842510415154,55548.77858694334,62555.18854478048,69126.99665439234,65865.71632649214,62609.212611756775,271.6395091413506,24493.681975271982,29543.192775718086,26662.499795807587,22475.094855128867,14443.69492449706,60296.935307133,67207.96259043388,75673.78635693675,81239.72014646482,80023.8961058068,75265.41205464599,0.782,0.41995247234038,0.8793391932181107,1.1462533881594128,1.2734843639598994,1.2063934546474147,1.0745771276747822,20194.447245048395,42285.187295084004,55120.41266870161,61238.62698571708,58012.395642958945,51673.68344000445
Psme1,1139746.073691181,88.30766979646252,154.53043981075476,65.40908559335217,204.4960299092288,127.86003956395574,87.66981512908959,117.03536772356114,153.64570087814542,0.0017385360006707006,0.00565000027949829,0.0008249033685316723,0.008442897918120829,0.0036736803986370434,0.0015710717667584064,0.0029678272380733316,0.005157090196493572,1016095.509886708,1423828.650698481,1633638.7499948728,1732491.0273583631,1748784.3451889246,1685913.6329533246,1274078.7445166772,1598591.9843277838,1826387.6751472484,1953392.7106234329,1994521.138528804,1973429.7401171485,891701.5901477439,1340139.7466703223,1518862.5056730518,1607023.2671822868,1606043.6392227625,1539819.3744389906,1391811.1802381692,1682345.3516068244,1906032.6736909768,2048606.924844011,2103193.58307118,2123158.064378195,0.1695,0.685782264869269,0.9128450996326944,1.046877535310818,1.115914134759652,1.1321315940807513,1.106449371346816,1139746.073691181,1517116.5419288476,1739873.749481493,1854610.156638069,1881563.0052801857,1838880.0517770865
Psme2,1397335.8539987565,98.41799775260155,185.13563209372722,71.72328194756484,253.54347273894786,149.69986238930176,97.78553939637159,134.34626106310196,184.28759776375782,0.0031729569606088782,0.011495611965671424,0.0014344112652538365,0.017997291702752206,0.0071825186041035,0.0028042293668326603,0.005786307751089159,0.01041435099581673,1201652.0800861213,1957971.6256012244,2438717.5131776268,2702103.6175359758,2702049.5749350763,2493947.979308681,1696084.6734269103,2308812.4026148776,2855409.388831613,3152097.626000648,3198902.5059970818,3125271.8998952294,919761.9408601898,1745292.4155809034,2258357.3161432287,2501383.0360224885,2441300.828467521,2130567.59169061,1912621.320449748,2469890.0140843964,3067702.8500053217,3393204.6423602137,3448894.3053204436,3372799.265371433,0.2725,0.5597207420257033,0.8578394082872269,1.0863837392472158,1.1978606381346135,1.1872355886426051,1.110959883662635,1397335.8539987565,2141585.387446253,2712143.4602501467,2990444.1484544114,2963918.8448682656,2773497.498373572
Psme3,93892.67367772717,194.91821054500303,332.8896213322529,131.08037446828922,415.32840465857817,261.3530927630725,184.64319047242543,249.62842299055083,318.64930608287773,0.02301461112243291,0.04074368611629723,0.015953349960868106,0.054277413041009206,0.03168893145190883,0.022334668206269646,0.03049245044248833,0.039806224104851226,74590.55446955691,178020.67609892413,180504.2698024921,157673.64015716582,133881.1808089171,110572.61197554774,116763.2010069332,203400.73478896526,200988.50952255577,180471.2446730411,159686.28213482993,138479.85953879988,59060.372687603405,168649.01313304668,169696.69062766276,147162.0401098091,121896.41310983634,98017.98980671824,140405.68494243867,218401.10468058745,211681.65101139556,192525.454068642,172975.5970497144,153035.29975959612,0.105,0.6093243764225695,1.259489770426728,1.253859546572644,1.1093777119281927,0.9587468719137532,0.8092017227361126,93892.67367772717,194078.66579934847,193211.0872295106,170947.43542506863,147736.26440592436,124692.39083851337
Pspc1,17799.318749940307,252.913102595729,551.7590563088013,138.4685879908537,777.1336398964227,410.3696133621088,231.1511677521421,358.0262680358985,513.8881150510095,0.003252924961745314,0.013635870455245907,0.0014810776309076435,0.024755335402309522,0.007817392863649589,0.0028524477972316467,0.006138587980458583,0.012172325017111057,9193.347653453342,40140.488053005916,45997.57473930892,52273.94524509842,58468.6066502037,62035.428892683376,33899.44384880353,52717.62024196465,55775.335677423274,63279.917343715686,73365.33795674692,81438.17336810178,4.329022467100002,34767.41921629691,41818.76874113195,47642.95139547434,51857.72407032666,50931.906183271756,43618.300547917235,58843.408382048976,61029.70377366626,69809.97637552103,81730.53046333326,89161.33983882543,0.5865,0.3406029655929243,0.8612062574336861,0.9690315636467688,1.1343634182687183,1.2975762061585066,1.397219588899396,17799.318749940307,45005.14156951242,50639.90458825359,59279.8598358893,67809.07634068267,73016.26626529158
Ptbp1,127133.34679976455,10.843401704993804,88.7129903495863,3.943047647324628,269.80318858092744,40.445777777593726,10.827227582925694,32.88677328453693,88.55447601884356,0.010659539485345454,0.035693340434887415,0.0044748319284171004,0.07435982213052672,0.021117801504968396,0.010370731888891763,0.019640580540403126,0.03490168315123275,58891.57354833381,78309.34495165605,72949.1819264042,61235.28031406843,46167.16356736441,27867.79020146254,177350.78458717716,146838.64579046873,107595.38992780069,83117.49277209636,66559.54455391268,51476.19058605107,18316.27442391595,51660.719232201365,56987.60698396803,48495.604504634735,35296.44572270397,18449.686177825683,238669.31742744587,171666.07707494035,123399.62314312668,92729.94484269015,75647.6271601637,64017.74261054747,0.046,1.5062737204851975,1.3601020821890106,1.0921764982988433,0.8734893583829054,0.6761164510508355,0.49184188959320807,127133.34679976455,114796.08742182568,92182.48425661479,73724.73144484435,57065.95426811512,41512.7109169527
Ptbp3,127921.49427753707,23.40859047443163,65.05129023267926,11.281594297114502,85.19464384570729,42.78827440506109,19.84269648276607,35.71719801469394,57.100577916490316,0.00975270513937253,0.030619451013765488,0.00419832477916383,0.04596477105719813,0.0202534619039341,0.008267049413554729,0.016650296569782726,0.02754103981842511,105721.954372153,177317.57992456952,216014.27328576552,232189.49162863306,228337.58674393676,215066.92363713626,185457.29477479047,221083.47023699628,253210.66089963968,262174.2391060709,249499.20199685023,242257.8546144077,59001.39913089405,157097.3780451308,198507.6354559011,217987.1554887709,216851.08820803495,205372.32891144886,219413.35758752684,242628.4352051913,273126.57047939306,276430.8336581522,258809.998575142,255974.6357923316,0.7895,0.5976516232502543,0.925352677703891,1.104087221511223,1.1785790300438495,1.1229062159027239,1.0714232315880596,127921.49427753707,198062.7051957924,236319.08907124284,252263.3333236167,240347.11106550985,229327.68097079528
Ptcd3,62897.70595758517,310.86407389246403,539.191576730237,241.04405507779913,695.7753586156963,455.92796963210264,311.35316383306827,409.3221452786891,540.7084522085963,0.003622475402457074,0.010760034939576831,0.0015708827315323536,0.014494745299485714,0.006974715542323338,0.0029635754187132325,0.005700692123211274,0.0092611549401504,49513.67315440944,138470.79606641442,159696.37928902483,162362.7993551757,159155.15504689998,142678.60650381874,80473.34580240442,175986.50171923253,191554.0135958758,183587.3210074517,176234.34042624335,164807.74696253153,35813.73748854532,129022.0773088596,148476.59211605636,152785.8699787613,149795.3731303098,131820.17838466133,94872.58995722981,205810.0062386571,213158.84471631263,194660.61542625364,182627.1989161116,175420.47683172653,0.8075,0.4164952484127307,1.1042208514540062,1.2018008118666483,1.1598921236405102,1.1093415077373414,1.008249456888763,62897.70595758517,166755.70415670917,181491.90026165269,175162.9916866775,167529.00837673692,152262.4282340935
Ptdss2,3129.4198468818263,13.27377633855379,27.26833587976331,8.153872862811287,38.71151123058078,21.59020902531669,12.698599078880113,18.620192011454783,26.2610170148132,0.003803152683297581,0.016777335924989388,0.0014924149306977418,0.028785747052049195,0.008698917671437042,0.003468927141812334,0.007681632701537287,0.015556503630404828,432.93031700704734,11254.833269799818,15094.929792975494,16860.146016230425,16109.680203477432,13795.559123018269,6879.550653848139,17593.17253167322,23190.783755287262,26325.271438801166,26616.24330791069,25316.38970103582,0.07360358922642263,8407.101519394115,12005.817214650358,11936.483719760183,11559.076469232192,9096.400316501036,11363.79554959693,20645.90176955112,27116.2752752398,29913.450409665245,31763.738908598374,30989.011954953454,0.271,0.17818784446161998,0.8193243461088141,1.1529005186423145,1.2994923861719359,1.3299016152085932,1.2201932894067227,3129.4198468818263,14389.364647702789,20247.788368620848,22822.304610313637,23356.365983373165,21429.61607981002
