,protein V1,protein V2,protein V3,protein V4,protein V5,protein V6
Cpt1a,175458.59065979422,347977.78862516535,340532.8532498197,400334.29915569525,379086.7885134265,359269.15479494765
Cpt2,259550.76930292833,942440.3916027274,1294825.48111734,1156805.2010563433,1158777.4284674325,1143405.454455434
Cr1l,67333.19397786375,99305.88927846089,125682.17232073977,124672.7163097378,168738.71478319154,116326.95975567451
Crat,70460.24292695597,220845.36084071122,276572.05825013097,419025.5912502334,345004.3401222265,349959.7885096989
Creb1,352873.5447938252,335816.2877302276,236464.1300769276,227821.57925691624,203383.20017430448,192931.9610069074
Creb3l3,0.0,0.0,0.0,8907.682408844097,7603.108947814089,5383.118132918502
Crip1,2498857.7032557027,3844373.2118636374,6559744.718743792,10251525.593128968,9469916.220113149,11952532.635605348
Crk,51465.146392701135,16571.048512511723,54993.075058972005,63679.688559730945,69282.03245582855,78786.1906044781
Crkl,1551.0997089055454,0.0,6140.42078924167,8209.823636594385,7249.893379058077,9272.631778803587
Crocc,45913.23829817589,91411.64898822944,117029.85111961045,183956.57519462507,172020.70070491408,209287.80281149552
Crot,76358.3630832199,374183.52365070174,513609.41729562747,650964.0566175967,611442.7307860563,580052.4636205964
Cryl1,535744.040310242,994687.8469627288,734808.836752321,1348144.6546869623,1034431.7728478503,1643397.1928827497
Cs,4879849.286261335,10910258.396286288,12789690.000460468,16199547.206524163,14477210.953166941,15069870.643357765
Csde1,6812.51686949855,58202.64592737934,40955.38626710598,52372.504862173664,58796.08487516675,61184.54770405195
Cse1l,4665536.329016793,5029652.669663193,4752973.58634353,3424761.0227541076,6937254.351409559,3524259.9105204125
Csk,0.0,2848.056625103318,5592.15622109553,4407.236765114755,5664.319401211706,6692.500263128693
Csnk1a1,51879.022911223015,53481.1339467457,111807.49969676735,121270.28158014978,119264.3176069487,166505.6446960665
Csnk1d,11481.740724626972,34863.64056781466,44515.90622414175,21072.037639209153,18226.778151275343,30239.363494736794
Csnk2a1,22649.032202596714,60321.754383138876,54985.021300083106,98203.7411546701,79698.65427451699,91501.80596815405
Csnk2b,49794.53184674791,161310.890410389,166999.91683835138,303919.66705681133,300927.2933344988,245548.1190678923
Cst3,11163.350916862473,9069.820756463443,0.0,0.0,0.0,0.0
Cstb,0.0,0.0,0.0,103318.63335274754,0.0,37078.97256451957
Cstf2,63172.09699082558,70763.04564695242,78589.9161674625,69304.7454696379,102242.32740973211,95124.35695904033
Cstf3,0.0,0.0,0.0,4587.793308539697,6903.344180708117,3960.9984249756335
Ctbp1,142704.0738726582,146603.9339892611,114375.87418618877,177593.0706624806,127238.57616993337,131219.87648536163
Ctcf,157291.37991027822,174580.30230041055,134445.12235812165,110563.18691164575,163979.4781782697,119359.548255473
Cth,161464.78814007778,438377.1574384185,544797.6661103287,559042.7365671798,606662.5304335576,498215.9435692783
Ctnna1,2665804.3201709962,2169617.282361377,2544457.2657019296,2841136.20368674,2871668.299863777,3202110.658067899
Ctnnb1,540462.8624795337,1191036.4087168656,1364319.5555594203,1531090.7582062206,1588247.4122871042,1675376.7268402416
Ctnnbl1,1923.3522705756557,1805.7758753891464,0.0,759.2971701429952,0.0,0.0
Ctnnd1,359864.71570333536,694515.4436797629,761457.9914125052,966750.1784790144,929427.6481969944,956271.8264183201
Ctsa,2336.9138350328285,21196.75734898994,0.0,46382.7510189338,43154.61551491666,38938.007682790936
Ctsb,210940.75108566368,522458.7210244489,512293.2656737215,418508.2792870925,462748.52226876235,441940.02722363424
Ctsd,333806.32230130525,458503.85857332055,348181.4179962976,387518.26206745586,420994.0803961668,390156.9631875686
Ctsh,14752.206820868541,36949.9361650883,46863.24588012716,61161.65490837238,56352.93821978125,57367.11383408261
Ctss,53539.73392034388,163442.0698262696,182066.64094758627,261867.59303312615,221952.58912975516,254652.55736330454
Ctsz,663288.7180880278,1187183.9276666506,1796813.2367060562,1653792.0614550395,1602266.4711888477,1674806.1278679126
Cttn,659278.0311723424,818151.4497634132,902651.8447042519,891627.8888776622,873203.0529685176,1019769.8026866262
Cubn,0.0,0.0,1044.3088773458285,2604.903653851789,1646.5421577902612,687.5357279508041
Cul1,3853.6573670066796,8176.64496343197,0.0,20365.430195563808,6973.780597337371,7434.759669333233
Cul3,0.0,0.0,0.0,2759.5270242305937,517.1213965770434,4281.80241295841
Cwc15,70423.2201375464,114661.07315330068,112811.4733525596,68007.78787940145,89150.9760579665,76798.37019610286
Cxadr,201238.68273651547,311392.23662873625,408650.01777330786,391659.1366406926,411913.47608854645,401211.02482997486
Cyb5a,9083377.684635904,26613639.460677247,25606659.672681656,29547514.624013472,28781910.980359394,28535292.25942748
Cyb5b,2737370.3127436913,4982660.306967047,7015506.375061807,6024432.128081323,6406139.294175946,6844218.79338054
Cyb5r1,0.0,10938.866297659986,6518.521402834091,9554.014323694937,0.0,0.0
Cyb5r3,2202023.6637098175,7535713.13938454,10263824.006913314,11432998.76935397,10494737.811018853,11495530.768771626
Cyc1,1067317.5183137816,2272290.491424685,2406693.561875598,2905192.417368799,3119317.443672397,2762157.219324928
Cycs,554627.9269600695,1053344.5214069397,1164329.3977413059,1617877.0967422975,1312715.2158675776,1602456.6948372317
Cyfip1,55695.07620891526,72886.222393094,93065.43682174539,88623.36523121857,102149.66999392005,116119.73225919825
Cyp27a1,0.0,34985.83566581713,60431.563352248624,58555.76193650283,76595.80577323974,66892.78449979336
Cyp2b10,248986.63671011227,1072623.7587508876,1794035.7603612742,2082843.3190233216,2157842.165514197,2203120.2568932576
Cyp2c40,22962.830345239483,63803.59897105282,96861.40031552882,78742.78187861959,80836.68273445651,67036.56246555968
Cyp2c55,4939.372241068726,40201.58854823992,59893.05272584131,103460.33135367896,72330.6152013119,70360.04629697403
Cyp2d26,44739.79731727968,257067.6958460837,401015.68966404465,539189.5523300868,511920.01325500815,651903.8427631839
Cyp2s1,180042.78219618878,287824.8029991661,310504.2508328473,409610.0591359813,318020.63910634874,371726.76661119075
Cyp3a11,75978.68327402601,298774.60952152766,506872.0306056995,907973.6512213299,643293.2770215136,725334.3647864172
Cyp3a13,1383720.7109534568,7702708.690205088,6661419.50896496,8291827.004337753,7530542.819723379,8427694.835611906
Cyp3a25,18960.8863597365,175806.4431628063,243346.565010945,304485.108044205,236275.14317102885,223261.24262251856
Cyp4b1,2140.618155807248,30342.861844784937,106634.55385763319,183315.58334603955,183891.61812778556,236543.28689152957
Cyp4f14,92054.0129991938,355147.78487499425,565259.938225885,901958.5671713441,836074.5715059754,965707.92436557
Cystm1,0.0,718242.881419352,2665315.3457128704,2579132.9260747093,2407159.1302417214,2745030.4622795912
D10Jhu81e,293269.591314257,530095.7969022465,537717.0650320597,761246.9477615189,690613.5521059851,426587.2061765214
Daam1,0.0,0.0,0.0,1030.0516017739988,2102.9559960807233,6486.162819391323
Dab1,11127.736796047519,104224.57041942535,202692.26575285624,220473.7835227338,302998.0020834568,298414.70250306226
Dad1,1850452.5018947013,2244100.198993235,1952244.598599782,2291032.836537171,1998809.7678858575,2347576.7888601553
Dap3,45082.69995856246,104179.11940579762,160113.257678919,114049.57190190743,125988.69206708137,95923.80984568609
Dapk3,0.0,9737.11820074977,31191.157075048653,59825.253285809915,49453.33245623173,55039.32933925092
Dars,381127.53134566295,472977.8300345531,571990.3916602037,395971.9562238423,388139.40687074576,389948.4984183067
Dars2,9453.168275239994,5066.520225114486,17333.04209537378,17128.161919443217,18245.236154848295,20994.030500236222
Dazap1,35458.82824757899,51725.73429415573,70902.43158906278,70773.31634884258,32425.30890304689,29573.641010811552
Dbi,1640694.2260193338,2121756.8295942624,2209398.0073107765,3551642.152572288,3048609.6266733934,3090628.139458826
Dbnl,512518.09633171215,472147.61882839643,487539.6933557992,402859.1172697676,474535.3678669201,583809.0180656412
Dbt,115291.56127866171,168445.1860044373,241746.44038204115,227441.25523823663,246539.0844610385,202966.87201058667
Dcaf8,4530.32566249087,5103.104622697478,8031.785311464537,5009.7008908419175,3283.4871320200004,4181.493637373278
Dcps,90644.52665526154,156817.90674490563,67997.76310054,113715.08261977635,126217.09135031016,120232.31224402253
Dctn1,127752.4148493468,145924.5403472598,179681.4490105331,181638.43497242744,206593.7344274641,285897.48371913185
Dctn2,339547.70679726003,458427.04913055274,473089.5334120186,611408.6692203706,583342.4117363015,571953.2351478483
Dctn4,63671.82705604225,27894.313459624726,42110.34469255147,50043.25458403198,64698.03036707343,52523.69524234505
Dctn5,44253.68753500919,51989.1622023675,120997.8887924176,126032.4696372636,136882.65739648385,153522.5718317825
Dcxr,33588.50126559754,0.0,54044.54989010594,125501.60743464192,93471.3031885554,131263.2248934603
Ddb1,72684.23982523421,112422.93081525045,68508.28383477055,88440.602463649,66954.82021602734,68485.96825838712
Ddc,86079.30099978164,311177.89774888876,289284.3552745336,413584.0927157536,417284.4649946676,554034.2446763399
Ddhd2,0.0,2883.455709050797,33616.24257809216,61633.87342944666,71142.01082874957,67100.54501994119
Ddi2,82942.80698591536,142565.76191564123,100566.99092107268,146425.76772014127,130377.86011974308,171021.33387255817
Ddrgk1,68175.28441817191,118835.19970379329,160468.05133579462,170889.79578896912,104377.07605690624,172602.72155717452
Ddt,259981.06161313746,572783.9683439513,475528.17410612217,732973.4338443512,607982.73467137,808106.8288475866
Ddx1,227458.7743017136,320174.73258312425,316337.20848314586,305266.9749311388,281261.9644862513,237752.91113562376
Ddx17,235934.3947539034,224781.36208361137,238537.5815413938,178727.83482084755,188290.68338832792,172062.25910697397
Ddx18,1563.0828130856373,2532.627420916445,1107.470415904513,0.0,2315.5586340586487,0.0
Ddx19a,66751.27422656075,41813.11133752637,39941.38061950322,50290.29582687245,35493.74715508764,67090.25287395717
Ddx21,124734.07184519192,222591.56479520936,137885.3018843957,107934.52341485053,127933.4122057306,82174.84390138909
Ddx39b,382098.5244983584,231220.96856495654,192774.94420849488,224400.91065728114,203703.14405198774,223544.1460390421
Ddx3x,190619.11851996192,198694.243598837,182497.63399350733,227646.0597563365,206329.84764688252,206991.2129645351
Ddx42,32560.637405668585,17002.4064124844,12463.640799809868,11187.36232951521,16239.216338523143,13794.369317455124
Ddx46,6929.879426105701,1819.1898233475245,4815.325171729265,9901.823117722513,19926.468948764676,14410.776421640912
Ddx5,769532.1663664896,766075.9138708321,668910.7450804737,619885.8843977074,637643.3742641294,650597.960234863
Ddx58,25465.560208734918,77538.96794917902,54541.07609905526,121940.54443093808,99660.71018722966,126316.31599733453
Ddx6,70877.30815558544,104885.5786934485,73640.13668108167,72967.08582262805,81571.60959510297,96568.28221944076
Decr1,787814.9378522503,2286526.9531564997,2100623.6533404905,2304935.281417158,2194511.347053313,1995792.7574614687
Decr2,50181.61374802739,253710.24939250367,318072.20428808604,306239.75427289144,278595.32495846925,363053.43661219423
Defa-rs1,1241062.3682397534,2503413.600190565,3847422.876444134,3978992.6979764034,4497991.939205928,2727491.163544185
Defa17,43155.934634595214,71680.24118567353,0.0,44921.24638467937,163015.8339016294,35503.191184730254
Defa20,5877089.73523088,13513498.593325362,13359609.739887316,13223525.249330014,14995567.45845139,11216310.554586757
Defa23,21615.676386395757,76250.50786147844,46025.701026637915,48233.32703605343,136390.54694423857,37622.826315066304
Defa24,1332761.3586408703,2469441.943948857,3169257.1070761634,2363131.3874304993,2885908.2530544377,2164701.372841418
Dek,105773.29247308124,65790.86476415976,25653.5635532858,58668.61799219402,29100.12168876855,33783.10917971398
Denr,86976.40664336937,62333.108754691886,81507.44791052915,58349.896713046655,55427.919365549256,50829.84268334606
Dera,58997.56836726931,210458.44421326424,206750.43697571187,255901.4102959661,220121.17261887895,309749.00392356684
Derl2,13118.266638168903,18306.94434904275,44079.45525749146,56309.63113602394,68505.18832522101,70390.93844991292
Dfna5,10025.89283126376,11001.367056910696,4985.4106876722035,10531.384829727276,15756.476326701099,11024.546351351402
Dgat1,1666210.9281616474,4671913.809169723,6255713.792364788,6789396.348451419,6672587.027870445,6285651.1087394245
Dgat2,0.0,0.0,0.0,3859.7048852773532,0.0,5553.868869168708
Dgka,0.0,4168.85769218184,6207.4263225876375,16054.149106012013,17255.67343721138,17557.344093251733
Dgkq,1117.5109276919802,5558.487731493524,7019.381637327988,10767.745954933016,10153.363098258531,11942.715192705944
Dhcr24,27120.02413115682,62943.81271137544,96004.46197726487,102416.05851886401,110144.65125468066,102160.88366599598
Dhcr7,141637.2335181176,218355.86724221718,313410.6997723841,268869.9561773201,264623.4064113109,235606.96418496102
Dhfr,155643.3197732346,124635.04214800004,158927.44299301537,221724.38869713503,221229.26198480063,295224.00498791784
Dhodh,20013.38937542155,30915.143635971803,49615.17517719295,49236.46305418384,28710.88899780734,16623.413321585474
Dhrs1,1255632.9088214033,3924446.9605714967,5073401.596092438,5610110.806479098,5423754.536059673,5319246.616937904
Dhrs11,354710.2557129423,671905.672189735,639641.187989867,984469.1462042083,563448.1606962127,1264745.7093776106
Dhrs4,836151.2965607962,1999372.1121978532,1493941.575491475,1977271.7781432224,1892685.8105356356,1999452.5527913552
Dhrs7b,46457.30417475032,324955.497842966,449996.92053560936,394191.7290083253,417137.6755070553,309596.2752598067
Dhx15,308315.5223563047,324248.9631162087,327148.58957385796,328859.62282556994,314156.0229331003,261088.87038838293
Dhx9,267026.4801889207,422185.467338884,410791.8397399971,354183.9538338583,352107.9783524542,295360.38934777566
Diaph1,34158.11513341311,38215.79074549269,68507.86219287163,53216.89410204121,78863.779691754,76380.8606341669
Dirc2,0.0,8346.404860362267,14842.920844560633,0.0,0.0,0.0
Dixdc1,0.0,17365.603044736454,8366.781542545014,29788.452625502086,12135.746533934442,32274.363364912784
Dkc1,65490.0829470393,72254.10142714618,77633.93507133111,71760.39913133641,75660.10018523605,66873.39349618278
Dlat,393887.6301856538,1246181.122979382,1320733.1020984903,1095122.7352746085,1128404.2998107316,1007948.3198839313
Dld,2039334.1183808944,4009882.99218719,4562090.901229636,3874413.7519045197,3925904.18358663,3440506.8201630367
Dlg1,17748.684732223657,23174.769954464296,48450.06015187107,49037.41345550377,70132.40279134469,54393.5499455466
Dlg3,5867.740646506685,26329.363059212086,17856.06560500036,27568.952426952113,36935.04132494384,32045.915424073526
Dlst,1265528.787289409,3496839.3978556017,4382485.963310697,4302086.917017812,4360146.870907266,4015789.313937391
Dmbt1,43420.63480563281,37576.56286695828,26057.750858673953,21007.538615844678,22324.838811422058,16370.529826864427
Dnaja1,245052.98377747473,497551.7602720943,425345.6810984325,462504.67417678627,437760.7343294222,417104.07129409706
Dnaja2,339538.1676725306,628812.091234079,722896.2272372168,588868.5401753788,600459.5858132183,648747.7343682529
Dnaja3,138861.20674019607,245641.08319492257,259677.90757568757,182489.95501405798,191683.1611777087,183700.22217088108
Dnajb1,0.0,18360.569178886442,28302.964188124635,23510.856413625985,16886.196458474285,25142.02509256197
Dnajb11,1233991.2592359981,1799144.0456659691,1653090.4088994535,1571688.0247227934,1577778.3517030803,1606924.395904808
Dnajb12,76906.65348466154,143405.89017607883,192072.5419014579,236944.52905414245,161189.74490324652,158171.14141918658
Dnajb6,170644.52069791988,96524.51096329896,208060.77110196557,82050.18165640869,144998.05859374546,137492.60840851523
Dnajc11,129457.78420732456,176215.2838934571,335311.1941749223,181917.88768977494,150686.39893707127,126706.01989561711
Dnajc19,0.0,55445.51520592858,110458.33776770048,78122.0043124227,87646.34986374441,72676.36161024014
Dnajc3,706589.8183033327,907560.574730818,703018.6281716089,906058.343277317,740645.3728003835,792701.4933210183
Dnajc7,126945.81649501335,119497.30273796854,150268.9185826402,152707.27097721086,114422.78590215767,126063.421883557
Dnajc9,47727.0829943259,19181.864440061952,28112.672078157288,18687.441581472558,19090.49218929746,80874.04231518376
Dnase1,0.0,6896.190015960816,0.0,25723.80776525999,0.0,17459.099889346722
Dnm1,28015.570723354478,22655.360039281863,49781.518061125964,35954.42753503533,50240.09476076889,46788.43603771354
Dnm1l,16613.38181315795,42125.52386658334,23187.59354038724,28659.09403706352,24212.651675786194,45959.71814755919
Dnm2,130282.72271184128,233154.7459324488,196705.66020279893,653992.1609805555,251815.99407741858,288087.65252974164
Dnpep,587109.8444701611,1263044.9495622374,1225133.2949078581,1602431.858139606,1111071.9950902022,1613460.2289542467
Dnttip2,3876.9112929505654,2983.029434846365,65069.79527531878,2089.119877705655,92419.91980220417,86772.56314813082
Dock1,841.8130686514252,2242.051392011702,1275.6543573489073,987.812547230251,2114.5299500606384,1567.959125441768
Dock8,0.0,0.0,1326.4362787811187,923.7167735314824,1599.2884410946797,1041.8285564960806
Dopey2,2729.520718125958,984.2481919101108,3781.7666007754647,5408.492563573312,3879.668578619146,5362.838186895078
Dpm3,56444.191595140655,155190.61632212513,121752.39024618003,286410.78374819935,153027.54233302936,199469.36845045074
Dpp3,290861.82168783044,369590.471141359,263609.2654480529,374466.6876483359,355766.229716945,373601.5716059072
Dpp4,82011.27740871243,691829.8374857717,1337374.2964250012,1845409.580431364,1851454.8741156424,1807185.0239828825
Dpyd,48227.50517306757,126418.33407987969,148449.73461876344,244435.2354454711,205934.8503491245,255064.78860850525
Dqx1,7621.108931160778,0.0,10858.498998885745,2155.779388566457,4407.680970572211,7966.293821497625
Drg1,49733.895064678814,92390.97878550825,79173.31611707371,90785.19475811698,56158.83462865746,56072.17815019704
Dsc2,56087.436614673235,109400.33612482616,88634.62537397353,174608.75440404957,98747.9205279801,166528.77657226418
Dsg2,109882.3708043813,226717.88869424752,204035.05346379598,264703.30641226744,244852.01769286807,290993.0996646796
Dsp,356526.28758470225,916214.6332381068,1253772.3485773385,1050556.5192502686,1063312.605481364,981300.0443302538
Dstn,4678596.137205805,5680172.675175148,6061232.588215909,7439408.127285211,7182070.55278351,9351333.1843933
Dtx3l,141568.25534001167,297108.8393398164,370151.73172214243,442800.32070781564,424969.1221533681,431052.50936027855
Dync1h1,161479.48302633406,227189.69237153497,240124.2786829932,305719.25582180294,298211.9678053368,324828.15404406015
Dync1i2,403284.1256201681,550112.7658328163,410368.39279961627,539822.0369342593,538384.1590850737,612217.1622193748
Dync1li1,163609.46567439963,222714.13607978425,252375.63316929073,318822.52288690186,304511.78616656904,400985.98595304246
Dync1li2,6958.622845431541,17160.407806294173,15028.747665996863,35627.053670150985,22840.40814877644,15167.37684636613
Dynll1,611766.626190092,306487.14542745263,249753.84119934993,238964.82695384798,198261.35261727605,211818.57606746486
Dynll2,365456.6814823887,564764.554195798,623787.5729251639,1152669.298071784,1095655.6165565804,999601.9631363719
Dynlrb1,58092.326709099594,40804.14120602445,44242.659464979886,0.0,103344.8880251089,134438.31082795313
Ebp,257259.64918098564,419692.9187032992,312426.33148681786,255480.07590723797,505922.7805500512,486529.15474557853
Ech1,874990.9822481027,1711970.306410629,2034867.472052176,1451882.2501995647,1502983.2913447744,1556699.8813776118
Echdc1,20731.334792493595,26791.875996748568,14895.772844536574,58825.96042654731,48587.6558433348,35281.96829910224
Echs1,964087.0883676605,1695808.310734371,2128267.6772785564,1999517.1287062608,1818680.1621250354,1695813.6131658228
Eci1,1159211.238024502,2767543.780220572,2830341.510822507,2815375.703522771,2891048.7809028667,2822848.1950863977
Eci2,17961.827409883215,109763.61985868968,125888.60699848746,110753.04730969365,128420.91723803448,100549.72085459855
Eci3,15516.802834680042,102331.73630648392,176473.24410639657,226587.8302756089,174817.067272872,169761.32373173846
Ecsit,9372.729303268408,8721.433055036368,6158.295086508626,6719.681143034718,6967.090217859102,7495.322981157321
Edc4,0.0,1960.3234671583486,4737.977689185343,0.0,1395.747308503496,2814.5014055471065
Edf1,59094.14097884267,42743.78343734799,12622.054894450612,38709.2194476386,0.0,18173.582493792466
Eea1,2955.9720276414423,4322.454901179943,3322.417200012718,7982.4458455267595,11605.998428417903,11210.278400189594
Eef1a1,24605264.533559248,25227394.71224262,19629877.728090778,21070880.60371333,19752269.677100442,22410168.067316357
Eef1d,1604578.6276363593,2357657.0192675977,1637494.6053630156,1720210.6344770966,1745344.0545674192,1855450.6681409238
Eef1g,1820538.279187664,1687597.7940597523,1561483.4478825105,1543038.5044705023,1517803.928236678,1579248.6921083576
Eef2,4637469.105460991,4596558.903355432,4218125.9295681175,3845809.7465097075,3952529.68201348,4506227.826284118
Eefsec,8456.893709796177,4507.096146098947,7679.654413126893,11002.721706975613,13676.020239124058,10223.16390332481
Efhd2,2402125.811763357,3560892.213190721,4188092.7024773923,5040286.90567212,5392458.566277039,5687110.046096323
Efnb1,21834.52097996528,34272.49131871835,65996.19138082469,77292.98481087835,98600.658272676,68013.83862658993
Eftud1,29728.133679025283,28081.130584197377,46906.15181179622,54437.56156545378,68111.88408977399,59358.16081651935
Eftud2,295790.63977460907,243043.30800987818,250796.636792085,163895.5883426389,172323.40855222964,164819.8697246927
Ehbp1l1,963.4248164930865,0.0,1382.7222282121295,3215.3034810574836,3637.7079439906997,1948.5303734332401
Ehd1,91758.1516864174,308334.28595085145,406795.66208237025,592640.2944419906,555235.1192003128,716867.7207896021
Ehd4,67265.7134509061,56177.38294760175,39687.360674326934,66023.76845497757,70289.6919281992,94049.05646571316
Ehhadh,493588.47793978883,1069591.16949334,1840750.4909149623,1966966.7399997711,1897692.8977009791,1743020.3491423912
Eif1,243167.22341050341,256005.76796030995,172167.69504069912,385107.366221591,420390.50884806504,338415.4943506738
Eif1a,496217.9959869555,494629.834077348,392407.7995020609,403203.98864417325,459748.7148434956,428072.4599564371
Eif2a,237583.41569375247,281029.2159806417,252858.26981912073,182886.70924830294,191531.45261357655,204081.53586745687
Eif2ak2,22100.323766340895,26766.24693505652,15442.024238709446,48233.04271545861,42615.67874866044,42613.687102069045
Eif2b4,11017.744474019495,0.0,0.0,0.0,0.0,0.0
Eif2b5,0.0,0.0,6000.767912017525,0.0,3381.057451935783,2157.63805099196
Eif2s1,970290.1602961062,939006.3313407052,932801.4934761692,841964.4061589716,877743.2442159093,898162.2651384812
Eif2s2,644364.7448119893,840814.1594724543,723300.9470831077,710631.3311842934,797053.7956665554,790244.3742080302
Eif2s3x,420510.57515433163,341989.28794686863,403466.71396894817,306137.0806816456,359946.89266348106,305673.0281955862
Eif2s3y,33865.3019380897,94055.80106660198,68686.99797319325,83500.55992133304,80617.2448111736,84715.21007268541
Eif3a,199476.38454337913,250469.2957525957,185509.97346436148,249356.81801066155,225737.7686710666,242996.3353177864
Eif3b,364630.6235639295,445004.74682907783,325938.87230507913,341847.138905651,311502.47540784936,330308.0293721837
Eif3c,236489.72460657996,274227.5770893193,217818.48543291527,261553.17431181617,259070.46413205445,252902.22517056088
Eif3d,265887.66963394335,262342.07130244747,224309.8037993522,218027.9049659016,222123.14899557098,207835.1392649802
Eif3e,305306.4981489109,245121.27842993508,277162.137561919,258707.48785253393,293565.4985407955,280891.38612551027
Eif3f,195669.11863441387,180163.34044697776,88385.91411179307,126338.37484228078,107043.97504157209,92629.60952719614
Eif3g,502471.9722213546,536175.1243498645,434390.502006362,440420.54866503563,472063.7318943687,394218.25868450914
Eif3h,297404.66629957233,461052.3844163133,413217.85310575634,387710.71797437203,385786.95844017447,352722.6725716964
Eif3i,360074.4471489335,471460.3631824987,471604.27806575265,392630.0995747577,372386.5415291186,344155.83062700625
Eif3j1,372246.2951882032,395967.71887719765,136029.10697310645,118497.68008756998,80635.93832979572,169800.50573831343
Eif3k,138281.54866167333,213710.5419824398,139837.93620687153,215201.8347013935,168946.62169049328,221297.21542957643
Eif3l,286035.50462154584,283388.52107311325,337135.66433364764,257251.6574648413,217019.11336821684,281088.6380684446
Eif3m,14539.368758420798,41474.09145243254,37323.99637542975,26375.9542015392,23826.66970842226,20048.980974453818
Eif4a1,943764.1013413621,1580581.2203032735,928178.4226902855,1179466.5411106818,922427.7179004849,1238131.1700042614
Eif4a2,19967.082413277127,56550.36433281253,67075.81857608547,126697.09643114981,92519.40717518494,122970.68084258364
Eif4b,345777.73601837025,468226.4614226628,427795.67293050495,418145.92105612345,414354.92682492104,392014.1470908842
Eif4e,139142.19183894125,36097.484339712784,94168.91121433322,104084.93613509802,101483.5336552364,123284.73023065666
Eif4g1,184457.4320172386,215259.3137052082,182931.84930017038,189185.7011067833,214482.5273824122,221757.62078826467
Eif4g2,43370.64315534201,38140.14989270603,64990.22283323805,78430.76337723697,67703.57865631071,77115.40963543877
Eif4h,728337.9851052138,881255.7363246683,501231.8161590108,536458.8415851706,533098.6435590597,755987.748783209
Eif5,114772.91670256596,159780.10583123108,101678.31639804454,126168.31558547566,141182.46829211066,173037.74247026216
Eif5a,5187550.411181161,4351115.935365773,3131151.7877487047,3669161.4885633537,3476767.2872292586,2361857.22207123
Eif5b,56847.51276584121,42611.022540106555,69578.0053352479,51795.17309630164,58060.000293998295,52540.04577063202
Eif6,801225.1668456475,1472619.0752874787,1447238.032263711,1852352.1027820373,1679106.1828406972,2129392.0688156034
Elac2,2881.8108584149995,21014.803450477364,0.0,12653.466880156442,11094.209124338877,5704.339657978886
Elavl1,687608.4832670568,925393.7479324254,733511.6818557831,649683.4504059668,595634.1969801281,561287.0639394085
Elmo3,3294.0966805552075,0.0,2064.5666850142484,1142.7712050041619,0.0,2843.239517922448
Elmod2,0.0,0.0,0.0,15814.45604106002,1084.145436236517,0.0
Elovl1,0.0,13786.337082923634,83437.7892699451,108947.9649416928,56978.98289039554,38887.01194934802
Emc1,46242.92946673531,67178.57469108036,115878.61449768362,81144.10808939791,84461.96061668592,71285.63863768807
Emc10,0.0,52627.997560977594,67967.7944076859,67919.03198245322,98031.52981491566,122230.8814818033
Emc2,133551.41099543212,282575.83044157346,342902.8107625722,282036.41185873287,295401.6990326721,210174.67760833277
Emc3,44049.720447742075,108062.8558833832,142870.1505227181,127119.52036152648,144444.34701318128,132758.8649666263
Emc4,112483.16848684748,110491.25427415034,117957.62868394685,92158.71408376585,100243.21775901446,89555.7253047621
Emd,60174.32563362648,24175.431973513376,28201.00781823773,45662.23152787538,19860.35944134081,40827.35634456192
Eml4,169539.867269598,144021.56651583235,105093.42052755327,88080.30580932395,91194.2331883756,94077.89718494764
Endod1,10892.629427146743,21050.82456645996,110296.9474252072,121440.6989608565,83072.21905176518,168121.47264509465
Endog,43424.89177133519,78506.71375829075,81142.13821298062,101488.37381734943,101497.75525521941,106571.74221919979
Engase,9235.370011803347,1717.199547407567,2265.7250831388424,4579.243479964356,0.0,2773.933027147644
Eno1,8900654.131202143,14342608.547494672,17271095.61958531,19959561.835043456,17521300.016808916,22572861.95814977
Enpep,235515.3755145816,1575449.9330497826,2362525.3352727597,3080648.3843283323,3098983.1624311567,3050576.019235702
Enpp3,41049.017152387285,114710.61854081808,209935.38985249467,500220.2565663882,537334.9018570523,775560.6010779242
Entpd5,132895.68682500144,632850.1966174529,940816.9175499445,909034.3641636645,878212.5031509296,925961.8169977688
Entpd7,0.0,17097.5384713719,53933.74829883463,65469.217543242834,55164.53585116052,48747.73762158051
Entpd8,0.0,0.0,4730.425080597418,17669.568447957714,11471.079094645043,6895.4013415481095
Epb41,26562.411096765885,26900.63245710835,24083.791361057592,44754.47743120368,45474.29533320708,35074.115444487325
Epb41l2,79518.48034818009,46079.10755049563,37363.158915242464,31366.107126558945,39644.26149129464,35833.55359797123
Epb41l3,722391.594301674,2094851.6178583817,2870110.236048477,3425386.498580864,3405757.6109023206,3416910.9228423345
Epb41l4b,15927.07357425835,25033.810362360786,28760.868864970103,40859.716836701344,60168.68256686311,54156.9701412966
Epcam,3524677.37318041,4900281.155868839,5896498.989994153,6980687.404408872,7477039.328098365,7750412.120183094
Ephx2,609735.5126754857,1603360.871409539,1901712.5969503978,3094597.5316854464,2894259.3872483536,3651604.0916239196
Epn1,8337.248258054891,68738.3790870218,56585.15163434694,61855.744673200315,65253.36581462292,58593.87039306919
Eprs,305906.953419584,365341.9709216791,297710.47411285585,303523.1551025382,325157.86564038205,300373.9268245333
Eps15,14701.863606571054,24473.89006694488,22159.202344564663,33828.54957685259,31445.95120280851,32653.868877618843
