,SEM protein V1,SEM protein V2,SEM protein V3,SEM protein V4,SEM protein V5,SEM protein V6
Crk,9388.433980138168,9712.753185852196,9634.255161137906,12785.0701401635,10048.130930358142,12899.945058459
Crkl,1343.2917517148503,1604.5455319440302,3560.586688077527,5105.475440576798,4198.761658782218,6128.010842975121
Crocc,20875.888625849173,32538.85693578185,40818.53669179653,61884.653164548414,57774.47183291602,71711.21957336675
Crot,25383.598325702842,88345.79773643731,123291.66783240749,86410.44556712268,95638.67538284296,76303.27105166635
Cryl1,66796.90698428471,145082.07812248386,304980.26557875826,81142.94297689243,138185.6514900315,279893.4067673209
Cs,896211.640388224,717356.1979765454,878322.8346944778,634483.7571365332,1006697.9658414165,1393084.7549662907
Csde1,5899.812672695783,17441.981901590658,4344.1903397338965,8606.301470427637,10704.670754920753,9127.86629494836
Cse1l,3989641.578946874,4963843.670741683,4693211.700604394,3364593.975960148,3990040.23637824,3456324.6156910006
Csk,1325.1645572122247,2848.056625103318,5592.15622109553,4407.236765114755,5664.319401211706,6692.500263128693
Csnk1a1,27048.055844018516,19454.653529178107,18633.82946560587,22295.863976037723,27639.101432715528,23286.75693702258
Csnk1d,9943.47914719329,13054.603187025394,14875.638453789927,12269.988885224517,12507.466499886204,17490.940049168297
Csnk2a1,19614.637258580573,11710.333087142933,23151.87714316586,27020.04980942945,15693.788960155785,26252.24288062064
Csnk2b,28288.173028998153,76310.14141881389,76302.15689767359,71496.58977396984,67248.86757119166,49175.190528357285
Cst3,9667.7454853632,9069.820756463443,2085.4874014166226,2123.8807478977574,2133.5175269988586,2135.936370886017
Cstb,7277.816965899224,10629.821288032865,11471.178662655346,103318.63335274754,11735.367336904517,37078.97256451957
Cstf2,29041.1068693594,22894.911297528826,17363.702631760312,21074.22346235797,17058.35680529799,3158.1441031739023
Cstf3,799.411627410454,1167.6032489913966,1260.019817205769,4587.793308539697,6903.344180708117,3960.9984249756335
Ctbp1,36897.128013806534,44839.99903097607,27554.53448941586,56627.549201611066,35105.16564972913,46250.13920140608
Ctcf,42643.35059892193,19544.60902333749,43352.07757599012,26425.50890868901,41219.27923595304,29206.97433373833
Cth,65117.000738552204,79972.6855095543,132164.54612671977,105813.079998953,108861.70898934678,89042.56634398567
Ctnna1,930789.0724931745,97311.03073097943,263383.035891213,248664.8138372579,189896.66410322647,59810.9002242295
Ctnnb1,90400.29127042354,169263.4949261387,237105.58716231433,138576.17356979122,196666.78109008132,214822.87350020124
Ctnnbl1,1665.6719267450005,1805.7758753891464,443.3067534636189,759.2971701429952,453.5163951166195,454.0305626105218
Ctnnd1,54409.76730590848,57100.42058323797,59048.42579973676,48955.310481409535,53072.834044693445,82445.71406840908
Ctsa,2023.8267475937455,21196.75734898994,5074.878443242423,6025.943872371289,15331.95628107882,14267.290782278998
Ctsb,55826.66657354465,98699.69888631972,41851.6236503409,100286.76988165734,60758.165627654336,79220.3270931818
Ctsd,24611.933501244665,61188.92817770771,24959.67740799112,102210.88334395744,65984.23210527225,76185.75153133324
Ctsh,12775.785868754238,36949.9361650883,30703.431705174233,37633.805411686466,36568.83636354038,33632.57143014269
Ctss,9529.251704364511,40229.33115182151,30607.30567480294,52033.985028442,59370.66369825498,28072.95775491212
Ctsz,51592.86277783696,228316.86852397,117950.61657794402,136297.48051838906,114057.56886078861,62544.08188531755
Cttn,53391.134219559055,121914.7847428382,77774.2295089242,59154.90586653154,77656.45780970762,92168.98699191828
Cubn,311.03048977334777,454.28437358502833,1044.3088773458285,2604.903653851789,1646.5421577902612,687.5357279508041
Cul1,3337.36517730885,5579.867358133547,2854.134169493859,11974.649432836966,4041.4312807558576,7434.759669333233
Cul3,391.0178486674545,571.1121715813258,616.3160771105343,2759.5270242305937,517.1213965770434,4281.80241295841
Cwc15,31216.81780452822,17176.945058386285,14347.51705493907,24625.446193989494,34497.0445317273,32900.705928268355
Cxadr,19862.262373546648,31663.814978819402,35899.972949883326,40326.405880638595,17335.745912719154,32719.89625551352
Cyb5a,485926.24166177766,2525636.3993861196,4857018.960009548,933202.1048270874,1804785.2509172421,879676.0619068776
Cyb5b,955351.6388254651,588175.4288468573,1583871.4719600424,916674.1827439882,507421.8038388706,647335.8933924491
Cyb5r1,1464.746120473231,10938.866297659986,6518.521402834091,9554.014323694937,2361.8804731695122,2364.5582201635852
Cyb5r3,112060.07600138773,1097118.2270080175,1159740.1248522655,431329.9030983581,360640.6639397652,576444.9469421747
Cyc1,129378.43352756929,372105.9364615261,522205.1780848103,538048.37210756,550559.1368808806,530769.6483893914
Cycs,244831.26337567993,117125.72676119179,282112.6360770464,315444.21746381675,169180.3941576623,212982.93737901503
Cyfip1,2344.6694727636504,9956.160640278415,10915.40652655842,14911.75717813882,13544.863463985444,10299.773315488088
Cyp27a1,6527.756255190278,21349.105320868657,20257.63164903949,24957.7051348391,35718.11824525778,21252.19448586308
Cyp2b10,19811.915453211146,184449.3780668912,163944.05955259997,114351.6098624823,101219.58865562004,105186.34237883135
Cyp2c40,10251.37363780023,3319.76540804129,12647.48512598553,8746.31638464839,8759.452013223638,4358.579990177851
Cyp2c55,4277.621839513185,25460.03088994392,27378.621579440995,51019.0301440283,33300.79431699401,35125.30737060875
Cyp2d26,10648.824418399125,20186.779499036697,44287.579533985045,92799.90654715874,101872.86747834242,73078.94927811284
Cyp2s1,76163.0201651224,84887.95908297195,119056.04864664201,39759.1839275712,73708.94108283687,52158.5037511993
Cyp3a11,19053.550671079378,108460.56827381963,177737.1403187732,214480.48837697005,176000.58823134206,124388.64888480373
Cyp3a13,140569.7034607731,1712294.5361996295,607105.3193451354,545160.2019814377,450391.27031038405,811271.649298267
Cyp3a25,15309.227970413725,60812.54379989161,54902.20645058349,53175.62774258815,30947.33563775271,50520.49915028621
Cyp4b1,1853.8297027312728,13759.196434730704,25551.53655513846,19194.813829438437,25252.056913189594,49937.614798366034
Cyp4f14,39176.90530873725,93997.04767140734,179304.56006214477,200749.5043647437,175205.46669819485,225880.1267731832
Cystm1,71033.65190999433,428529.2859057953,272556.07093039993,161533.39463784706,167543.05139336997,293079.15996944386
D10Jhu81e,70643.65538918656,141673.10865947767,191087.18837322618,148643.50031628503,108901.80630321743,143816.93603723292
Daam1,368.1671504563513,537.736938399601,580.2991721822862,1030.0516017739988,2102.9559960807233,3990.8041498199636
Dab1,9636.902752004002,31568.95684644934,54666.17153210263,26163.211873366905,54866.69900526173,51523.37826192668
Dad1,140588.4220260927,354591.82228169614,565439.5381609369,57895.68948175076,423319.7970439041,259750.7217221536
Dap3,21723.887013588854,28186.932546338125,11293.261207552436,13531.910711012339,15258.810222150296,21989.68438517308
Dapk3,2659.407985559928,6293.6307327465665,11774.546839907052,9988.743449023934,12864.934361182612,9576.979367013335
Dars,92126.48546222321,115758.16041448807,171452.3384864484,66509.91464578602,98993.51883136937,66240.46011695587
Dars2,4106.11411071152,5066.520225114486,12682.10454015893,8859.292342557526,6940.486874646796,2855.438719033857
Dazap1,30708.24605083244,51725.73429415573,70902.43158906278,70773.31634884258,32425.30890304689,29573.641010811552
Dbi,655256.8121801341,201298.03756042276,645218.1110171333,352925.51840262784,597110.7003321648,372602.737809762
Dbnl,50574.66777029945,84046.44091734549,70691.38907297053,22181.87249245102,27266.48593535556,87815.05645602987
Dbt,31326.744736586013,15457.53691176848,33444.79160972829,13698.110761163822,22416.188164254014,18554.628808033816
Dcaf8,3923.377111133654,3119.1873639978244,5631.745755086936,2896.434175997845,3283.4871320200004,2475.4942099262717
Dcps,41401.73302326117,17134.502914068376,28736.91644051052,16766.093919472645,8865.823399625859,6386.208665211792
Dctn1,10580.24764813472,19428.1134712062,37904.61390517963,10801.410238631299,27161.855523389368,26303.116413025353
Dctn2,24538.20883311092,86517.45431794418,44745.67639732713,92845.77466625736,55732.11242625412,70477.65763541307
Dctn4,15074.25293211677,4835.080465167904,5536.43794415473,9203.423302427014,12070.992266836092,8246.91155057717
Dctn5,38324.81761645657,51989.1622023675,43916.4189036268,25314.519324196015,33839.153262777276,55503.036278459076
Dcxr,14933.00434892315,10310.53797690796,31227.136545836376,25396.838153776684,18211.01108392569,36887.660317329304
Ddb1,11054.490799148354,19545.865572843206,13790.206411398673,22779.783383664966,10881.131307162706,11778.52937789278
Ddc,40019.86449037412,47340.918325053004,68891.59282712043,75551.8671701943,42659.44137108671,85424.01060448207
Ddhd2,3462.227017161096,1699.2979741960069,14387.53029696359,19044.38265242145,17390.927663508035,13892.545286580118
Ddi2,27827.030547580765,13567.280472098202,34321.46505797303,17307.129659431917,31101.483300782584,21173.284693088255
Ddrgk1,21838.933391475606,57112.94448731503,59610.08871997731,32911.90668260618,27072.107702946985,61226.457178099714
Ddt,20454.85081717917,72655.38122068145,103585.91014476781,152411.5769946506,57082.4751724581,164146.16596323528
Ddx1,58058.10640400026,14881.877825426485,10228.16054940185,37087.69682507817,32439.752559442695,48840.537885872305
Ddx17,31190.18217650548,26880.284328360656,35257.11900396713,12005.687376407715,10064.412334963981,9590.980727380967
Ddx18,1353.669424351004,2532.627420916445,1107.470415904513,699.1060097198006,2315.5586340586487,703.0742920682095
Ddx19a,19301.513175799562,12362.951628377885,1803.7266577687658,9363.063839431792,6395.5320222989585,11400.007473370344
Ddx21,47658.076976473014,42509.990503375324,14658.337827017103,28551.983109610486,21446.656900798884,25464.422181329363
Ddx39b,45791.086114421225,17944.326683206065,50938.28251722189,21965.73843261655,36022.07981791265,32373.15539618844
Ddx3x,110665.97661010202,120849.6394872296,98755.04036911958,127026.23486868366,126893.74522356203,132864.23207407992
Ddx42,17298.207758427754,3785.498057125286,2980.6388076874173,1847.4042316742234,4467.831544686218,4481.257199954091
Ddx46,6001.451628170662,1819.1898233475245,2805.5383983939637,4342.167619392368,6778.687405383348,7592.892432476909
Ddx5,27381.24288504056,39988.489696328135,62606.67578667523,53868.14001542909,22630.313090884785,42316.108440471835
Ddx58,7827.359918286552,23668.41160529875,38120.796541091775,23164.802591154046,39122.44567280159,41064.31466683887
Ddx6,12838.477416052829,15854.68568682664,20341.42333397497,18924.61530659616,28045.882732931204,17304.16363751024
Decr1,82148.78612838326,267489.4576691979,221490.5467512731,386542.3489762513,149994.8878727899,259533.64542738188
Decr2,23952.787824790954,40230.88799555244,39964.93747521578,48378.362733334354,38058.11671395193,14485.70941032118
Defa-rs1,220693.98394969225,851532.1677434088,1341308.707765577,1651725.7482210854,1158632.929411393,865169.0758398754
Defa17,37374.13571761998,71680.24118567353,31198.51078050732,44921.24638467937,163015.8339016294,35503.191184730254
Defa20,2696691.3849378866,5892699.502313938,2736039.426579167,4947100.348545274,3816611.151103967,4196006.910429443
Defa23,18719.724870602146,76250.50786147844,46025.701026637915,48233.32703605343,136390.54694423857,37622.826315066304
Defa24,637303.8133964014,1512806.6487033563,1882493.912561037,1160015.8058078375,1510657.8220371553,1289913.8812300577
Dek,34027.62012532075,12914.445730355426,17616.026712121133,10224.980085732484,9395.400825277338,13835.371118452733
Denr,11810.954860953112,23249.964082404407,11463.762913181272,22067.955020478013,18504.651390401523,17469.528773995706
Dera,31191.070721024324,55702.235727956526,55269.36166532669,27258.75604853391,61500.72014644806,79506.86064559418
Derl2,11360.752162272147,18306.94434904275,25969.130037239953,36063.28411859524,40034.465408840086,44197.8954113403
Dfna5,8682.677887494705,7276.627653531537,4985.4106876722035,7788.52618797304,9099.374139925636,9100.712844165539
Dgat1,147156.96252066302,286747.0600096658,248582.21400099827,323268.10268360714,462445.86987187265,346997.5078846449
Dgat2,487.074286645177,711.4101172499887,767.7186978282128,3859.7048852773532,785.3997566749231,5553.868869168708
Dgka,2548.542513024396,4168.85769218184,3638.994827091957,16054.149106012013,12642.292686892117,12233.153614793706
Dgkq,967.7928523879702,2134.4533263510893,2419.0998981977773,1977.7640279607679,1782.1004993223048,2664.9286039453477
Dhcr24,12135.136622896121,13703.819488711131,11060.940927282692,19532.89829979581,21351.244845492714,18123.617434459964
Dhcr7,18043.66361784638,26240.084272277727,44001.77038264553,30897.544866801327,10477.894493505042,36239.83647808831
Dhfr,79456.5963119799,55770.421920043445,65276.32965156962,81934.52499581731,89393.64474910303,99521.72829061755
Dhodh,8996.682297976273,17962.789453381887,8450.0932597856,16205.629992160599,10731.674807605687,9598.323909231252
Dhrs1,104840.56705905338,524360.3984561324,221782.96946714897,471050.40418818116,102852.61080233169,428491.91196621367
Dhrs11,55290.41282968811,89454.01701150651,86299.01041590801,96687.54610560634,90827.65410075485,222882.9372361119
Dhrs4,163425.09958902464,369193.33580948535,142716.68620848857,299674.094966863,274868.15394276875,304150.2963155004
Dhrs7b,15653.752841088553,88938.76659151055,36248.162733705096,29032.734516856228,63429.7471341936,53871.95869595994
Dhx15,38244.26495478884,49349.007897845564,49123.08543984622,48897.54632756997,33363.460352562994,20272.03339748914
Dhx9,4154.909586174369,46599.538263304596,79327.92255836328,22930.97778092171,24911.714188773254,15471.84179370178
Diaph1,17387.85678885007,6909.2418434862175,12841.361805801165,10871.415001384157,6645.242246270586,16339.46723952171
Dirc2,1260.954154080842,8346.404860362267,14842.920844560633,2024.085106267912,2033.2690781412107,2035.5742668347048
Dixdc1,5272.833320064367,17365.603044736454,8366.781542545014,29788.452625502086,12135.746533934442,32274.363364912784
Dkc1,19221.464574319223,9959.429777638126,15072.123360347821,10169.31898612573,17754.789390150658,7967.000218546304
Dlat,39610.211173894895,243252.48879415376,106407.47437368926,90786.71545905735,14830.255979469535,28879.94611895145
Dld,147996.45868113585,357976.52927126095,186236.01545071392,317885.659904172,138394.24569436186,388924.3407950602
Dlg1,8199.001609686504,2658.8670349288063,6950.337726622885,13382.398348844132,13080.746783293931,12509.670883162255
Dlg3,5081.612462693294,26329.36305921205,17856.06560500036,17213.07261167893,13169.922180594524,20608.992889860463
Dlst,108160.86278186998,279719.6869593643,318663.64498112694,247579.5266365038,214123.88372088107,120303.62121296953
Dmbt1,21215.180263347418,15304.041223483042,10179.467582458688,12148.593322722665,9480.881507896427,9476.300771744485
Dnaja1,11760.175346875953,104160.26935803752,135254.46430086513,41152.58203805118,36808.92804406955,18580.688876828033
Dnaja2,90377.0332454246,207961.23769488707,240051.07481042625,130137.60048532655,116674.35476300117,179221.54415659595
Dnaja3,10266.3368778088,33619.65166484191,17303.39893914267,25450.519751004835,27937.6067968796,27999.143355305183
Dnajb1,3864.3865144400042,11742.708266509862,16454.795274078366,17186.439949621275,9821.092342590979,17912.17456745018
Dnajb11,99698.36671315387,146694.40279291838,148492.1294899753,108922.12712486094,142846.13118894096,235567.66328302957
Dnajb12,26108.647127754117,34763.21205487417,49037.03778296876,42126.2321297196,33450.250120344805,56506.08895856461
Dnajb6,15265.335671100218,40694.12773057518,36631.33591232552,33196.44892122741,21459.949824200972,8075.2954774520595
Dnajc11,48656.30246573725,28527.456293352567,75457.21632610893,10197.212255385173,5349.907992000276,18771.296452799364
Dnajc19,10511.79586472307,18664.177743693355,75056.60829867341,32346.62894076309,37757.94978698672,35799.95370655455
Dnajc3,39395.431817112374,151908.9266675638,67663.6776456524,134785.33718828802,27860.607476256602,20651.417314539027
Dnajc7,17299.461180526054,17080.87056226068,38593.13917364564,18639.956953433433,22606.270913578344,17846.792354125493
Dnajc9,20731.677160548115,19181.864440061952,17432.624771467854,10973.501154330965,11216.457573417405,58889.36115341505
Dnase1,2630.16871141146,6896.190015960816,4145.629842423358,25723.80776525999,4241.106382734178,17459.099889346722
Dnm1,14937.98119927174,13357.932603878922,16312.443079390687,9947.045344317095,11865.517251608617,8805.69600543616
Dnm1l,7820.091219514733,25877.607082169638,18932.737102840776,17557.936037069423,15568.741103679135,29125.559946710666
Dnm2,31549.12730736978,20607.392224204912,22813.41181727165,437380.44742639235,4513.846202627106,34053.874491478346
Dnpep,71886.8586021536,192010.04243635552,304279.8306190946,392150.2947436653,147284.98405145132,306746.51128590025
Dnttip2,3357.503667913969,2983.029434846365,65069.79527531878,2089.119877705655,92419.91980220417,86772.56314813123
Dock1,729.0315026898691,1320.7488750332534,1275.6543573489073,987.812547230251,1221.7230841844591,926.5704885157608
Dock8,254.5156257323088,371.73999143189826,1326.4362787811187,923.7167735314824,1599.2884410946797,1041.8285564960806
Dopey2,1255.022020141852,984.2481919101108,1390.9683123508448,2917.5856775951415,1494.7024938721945,2081.5096889438196
Dpm3,48882.103817467934,90668.84118282238,70294.28126985303,26528.68498741323,91071.16759714152,72810.3750531134
Dpp3,16381.88294362713,52395.03946290798,68237.8430931862,37336.8662504738,44427.71011310892,29293.123589984694
Dpp4,35521.425241684985,137404.6199014838,73115.47231127968,227097.6007139603,99383.66831491151,81155.87874304198
Dpyd,1715.3699631151392,22628.42147569721,33762.67851615248,50082.560773093406,44721.55756081652,46091.54976211385
Dqx1,6600.073939393715,2738.6375836770667,10858.498998885745,2155.779388566457,4407.680970572211,7966.293821497625
Drg1,6180.283349889896,20799.06700326317,20444.929533951494,17988.74516379826,18094.000892242624,16160.032810856375
Dsc2,20325.976464044525,17539.643050535644,7787.493734573758,50262.675288842176,9787.435716509892,17111.174886015324
Dsg2,24118.860626536716,13847.311450085708,30159.136069511114,27935.497091801375,16293.376352646172,16117.391865187481
Dsp,67600.54314245428,283646.35837846104,544895.2908438749,295669.596902174,144971.86062852436,100026.93388632537
Dstn,429913.4348939165,527444.8004748982,493612.73312169465,746590.6025397023,900428.2195186204,1043641.6745126321
Dtx3l,23064.14175383822,49760.331951106826,44342.66350647278,37190.85084747477,47987.72906800221,41765.802021725496
Dync1h1,12127.34060635635,22336.104171581286,41408.16938165646,21123.645570637353,9866.748412023544,19779.688112223546
Dync1i2,65369.63219549346,105841.38041896769,73660.17379494823,40516.57992796818,63106.76966892377,94908.24471289801
Dync1li1,40298.647580558965,63323.428424079844,25457.683695363394,14657.768075968672,53510.516806161926,40333.965722547044
Dync1li2,6026.3441594984815,11863.978135407764,11159.35287403548,12535.986680835842,9129.79319351138,11406.877442460951
Dynll1,153953.17384450196,141529.2508202217,133973.0934217478,85056.71130927544,127122.18326064954,95762.55596211283
Dynll2,244883.37188371838,138089.322448804,269873.3948116195,343229.499989633,330348.43862915214,348477.4739381731
Dynlrb1,50309.43069502545,40804.14120602445,44242.659464979886,30266.073042285883,103344.8880251089,90165.30861287478
Ebp,222793.39155940517,243323.2932969253,312426.33148681786,213498.8689765863,292191.48594876955,293895.1353379861
Ech1,211373.66546078012,141952.76951562034,300684.67647316045,182028.1241102358,231446.37526373856,246568.05127513927
Echdc1,8984.725156804288,6067.419832150786,8694.123595154997,14121.07345228175,8642.636227908872,12969.354697267449
Echs1,11908.054795045487,97767.17521123403,61900.847076710175,122037.91850809757,94429.41728950682,110832.36201044162
Eci1,109070.44604752981,252955.06768475738,206978.2876069623,216669.75466929635,183248.52737647906,260520.63424364873
Eci2,15555.398835350506,9526.775452794887,6542.064362059393,6086.178802562109,9218.22658396443,28184.2708390447
Eci3,11386.589961053243,51229.33630785009,12792.455011267604,24335.598195926697,32784.93906960257,12987.637004518334
Ecsit,8117.021679425263,8721.433055036368,6158.295086508626,6719.681143034718,6967.090217859102,7495.322981157321
Edc4,579.7659284269027,1960.3234671583486,4737.977689185343,930.6409571297127,1395.747308503496,2814.5014055471065
Edf1,32307.973583725172,24791.418673525503,12622.054894450612,23719.99007927274,10563.710658016413,10570.195069161828
Eea1,2559.946868813692,4322.454901179943,2480.9884541138736,3833.2843566910547,4276.96484901604,5011.353245213831
Eef1a1,1515143.6751429865,3018843.244329006,2461153.6133677387,869942.8121652965,957950.7815307889,2615790.32189346
Eef1d,210152.37633911453,250554.39685637795,415655.6705238168,156775.30221734536,255246.73687726128,258197.7737610539
Eef1g,267207.1064396847,210388.36849937838,196842.74050580215,110874.67956718121,73111.76765424351,119848.66776514177
Eef2,488977.95283359237,172603.2336221317,303441.04304837494,158138.53472579856,257049.0928447885,276598.36292105436
Eefsec,7323.884789788327,4507.096146098947,7679.654413126893,11002.721706975613,13676.020239124058,10223.16390332481
Efhd2,261017.79261335885,392453.18490277266,567248.7320910229,443842.97841134836,197476.92852539502,234421.08146019932
Efnb1,9859.007579882598,19805.434778549028,11985.863757370818,9338.089561610735,19307.876469313193,15079.990065129177
Eftud1,5469.0000843573935,7295.299871402472,9817.146522396884,11842.95257532932,12547.270732539206,4731.230873170656
Eftud2,121236.07886216273,3006.605810118379,51685.70864632853,13224.476851390493,14844.858097155045,17818.724224383208
Ehbp1l1,834.3503657193756,661.6904682887838,1382.7222282121295,1939.8340817728213,2111.2048482397367,1948.5303734332401
Ehd1,18340.14208502812,43942.99239327923,65495.10733822227,73402.72644583887,34203.66692503061,127383.39886551077
Ehd4,22116.346878037533,14837.371809340819,7624.380825921831,5532.896555209319,16816.231886155656,17051.333970383945
Ehhadh,73335.14464772357,287453.28068942355,64114.29457810548,97932.84894943291,132763.77437541692,100630.00294021427
Eif1,67208.47110364525,103826.39847393084,110448.4096683291,121643.6202276797,87070.02944521423,137348.9621975718
Eif1a,37143.88708557974,42487.32967780275,87587.87106272345,34160.035599954805,43113.221523901484,23323.877616137193
Eif2a,40915.58455410377,49454.99882544783,35726.52121587478,34713.76626111114,11512.655827545967,31530.00292874391
Eif2ak2,9783.791350256597,15579.429105398618,7432.032498388042,21316.961780687925,14861.254509690018,17468.10133434641
Eif2b4,9541.646606906506,1161.3601383975065,1253.2825602855746,1276.3552058182797,1282.146469374478,1283.6000839385215
Eif2b5,603.3764088099116,881.2784692328343,6000.767912017525,968.5405282920875,3381.057451935783,2157.63805099196
Eif2s1,101636.9411601952,67857.35051214056,150002.68051244,35181.753693406616,70010.02819074482,41374.83674941496
Eif2s2,134558.1635300196,80962.66552738483,178791.5386364424,29587.704225934256,48686.51853308485,50978.640044074695
Eif2s3x,45503.60787769772,69350.64826768196,57735.072163825294,49539.3062105841,88678.65124596242,58772.08379692405
Eif2s3y,6154.351046977906,29552.715818101886,12709.391750605086,14298.51315643191,7680.55267075942,16316.92356087658
Eif3a,11361.338290739459,16049.016407615949,14215.858486064155,39023.55598482421,16021.216434270713,44019.1855144186
Eif3b,51642.53603755193,42822.641028256694,78658.222090131,31789.624733907105,72397.79098115476,51397.9840201806
Eif3c,22112.080909933004,6430.285930364167,57281.171093533005,22337.677754901993,16008.684437372413,20970.64552377893
Eif3d,28061.520616079066,40020.42025207497,41473.00946374481,22214.767202906274,14282.907428203063,19004.03757092188
Eif3e,30990.565825638776,27559.58794901876,35940.170193084086,39272.50005723865,47833.44324186026,25758.14656072527
Eif3f,48843.78707842981,54818.65979736897,29915.183712142563,7407.367167981489,11924.457974923656,24632.33537713878
Eif3g,55439.82115876295,36914.244958691685,74840.65453690375,46763.78649714626,39480.709750501024,28001.955102467127
Eif3h,88536.3239382213,79334.92145204228,155018.71794801482,93481.8677022717,72012.0823111315,45983.56335287595
Eif3i,104115.41700966659,28246.995230923018,65101.382368482875,63381.9366291548,55992.72914277937,37425.48476654115
Eif3j1,250496.851750488,175629.85791668046,49493.66818320685,24193.532861987867,27671.196397475087,45745.628991766716
Eif3k,18154.307198797305,35103.82435918985,36280.50856601798,26241.621825750943,25781.329118210535,29755.503378516958
Eif3l,25657.869151852352,17270.364873889455,30025.712710190866,12365.825320088099,32521.99974783575,26448.29682051499
Eif3m,12591.462699782218,11226.20933792404,7598.475488974997,9780.297629610295,13878.034106243218,20048.980974453818
Eif4a1,102599.11944640604,99434.75494753142,158125.71403874655,96328.80932693662,64126.333869611684,197380.9885032683
Eif4a2,8797.645345156763,9176.23450524774,25754.04274504789,12779.068456146872,16756.065212368154,23378.483684180334
Eif4b,73585.69441033629,87933.63427109858,78839.22054393022,72530.47577137477,53187.00727241401,34887.23646571623
Eif4e,3994.4253808632234,36097.484339712784,36801.82526662054,39352.02687664211,36272.6214816261,47089.67180808135
Eif4g1,19376.77957011498,12796.60213530321,30336.726086973857,11332.277568430549,20333.277232314438,20263.69184944839
Eif4g2,5360.692681498773,12958.664053806458,18867.045102359963,11555.56764273465,12491.278488247033,12861.210130391972
Eif4h,78608.57157438563,156952.07869957536,72866.66862836704,40445.652726064975,72193.4240388201,262495.1192831784
Eif5,32161.5562163658,34919.68287407192,8088.946190404741,9132.031888299878,23827.476783782025,34934.85862227737
Eif5a,645541.7051218625,174633.38860488465,333059.08637162397,752653.75354752,478323.4478202055,753686.822545999
Eif5b,15196.207887649021,12368.145293065729,36233.97486875882,16830.06591007192,18531.34824418389,15822.281217138421
Eif6,59443.367730166196,139806.79173982283,240953.55567463208,217719.451244923,239410.30915633423,374818.45906206674
Elac2,2495.721412289232,14000.570968160895,3437.0918602606334,9331.347953279586,7642.43514717729,5704.339657978886
Elavl1,141593.84983020584,93707.58560246143,121188.35741863979,92304.60054820437,85231.43611334982,93263.78401087552
Elmo3,2852.771407882804,807.6766398120848,2064.5666850142484,1142.7712050041619,891.6784018092918,2843.239517922448
Elmod2,877.0294486037214,1280.9701517201709,1382.359785150263,15814.45604106002,1084.145436236517,1415.7997505748406
Elovl1,5976.838526359816,13786.337082923634,33772.598397184316,9886.637459663125,33250.3802739513,22723.996369325956
Emc1,13843.763634690758,15910.074418707803,7018.980529730295,8916.867050981766,4682.826061975562,13010.211114166026
Emc10,13171.060613016132,31653.90406751411,39524.781113466495,39620.311763371945,57821.305530953214,81947.88750163252
Emc2,60868.84722036875,31954.494772659324,46351.317253820795,15410.993265927447,21028.858195997494,12205.501712704412
Emc3,19438.818239911765,5025.554226930188,15939.876104567242,33555.575689984595,19523.148250906383,23524.50619348636
Emc4,33968.643925016375,12872.463131235578,22851.737851914866,15811.059853660288,17575.581577007415,14520.5184114164
Emd,31203.536767987538,14683.283264295433,28201.00781823773,45662.23152787538,15192.253821128817,26737.26799374815
Eml4,16576.320873975514,29771.09394411451,17043.012993154854,5603.6925146610665,4796.617686095915,3802.2354335568984
Endod1,5256.140860881826,12581.2633575612,52103.13421409272,14121.661829208639,41625.136251820746,28457.657646419968
Endog,11844.139220048144,19232.670490382177,10897.904362027772,18600.34233914272,15049.369267498245,14290.595544801026
Engase,7998.065043570688,1717.199547407567,2265.7250831388424,4579.243479964356,2040.1058921719934,2773.933027147644
Eno1,1161111.7822080082,1996312.4395007114,1465744.3163682297,2186420.8636216973,1951887.731506336,2697371.6120187817
Enpep,63230.38362261905,220549.95661788867,247213.8230516595,288678.25452421035,203422.35667823092,192577.49107472386
Enpp3,1690.9319398552504,18044.0933545059,44071.10431886183,52087.48388532711,65083.429982538284,62536.92524088572
Entpd5,47480.62094032032,175604.08457960773,201701.94306472284,242051.05007753018,189982.29604306354,258762.2204622867
Entpd7,3078.609120967332,9872.14153694783,15042.669065736514,10724.62408239276,9961.114251088775,12562.344725071478
Entpd8,1520.9568717623354,2221.4765511956703,4730.425080597418,10761.998983030837,6892.440934988695,6895.4013415481095
Epb41,3982.9630054932745,4570.891233441089,5546.433522648171,13905.467735117072,9896.006742830263,6541.013854592608
Epb41l2,13055.094429684825,13995.309762287676,5958.229986445293,8389.914653010974,10216.233431477529,6866.331828851107
Epb41l3,33909.92275560891,204060.44934571462,152557.46905226784,183206.16447945105,220623.57098453125,219905.87073676495
Epb41l4b,10164.628238908419,18769.62932024131,16910.439479489934,17530.922905400163,8911.157788328164,18591.954761461493
Epcam,938565.5221724522,1153814.4346424711,789912.7921789233,1196253.1802377903,1635919.7253429145,1871529.2661718382
Ephx2,52269.17602511935,249527.87358996182,418318.1798694939,313867.76887332305,327617.70902946097,514179.7461134301
Epn1,7220.268789133096,19107.072898942333,14012.93877300158,14715.349806810564,15733.72238526491,27886.51810852928
Eprs,11464.55268685952,37689.06559121937,41829.175456660945,24164.633345256483,24228.710399381293,26408.51940869446
Eps15,8674.684146990057,7023.551307855041,4633.412168130044,4704.543807817481,3714.537199681979,6847.338714201282
Eps15l1,984.441176496264,4495.139216349109,3009.9618610449243,3409.259871616653,3902.193621353111,3684.0678675304134
