gene,V1,V2,V3,V4,V5,V6
Pklr,78.81861889314952,83.49586226321243,76.26253087998226,74.38722274358926,52.47273675419284,40.145485290191026
Pkm,506.9861381205644,462.0104378564422,371.31101100581526,304.9058690478989,197.28121957971723,131.06320197680014
Pkn1,17.553491543889194,16.19313692377453,18.753081363930065,16.076359494035774,12.202962035858798,7.674872187830639
Pkp1,6.883722174074194,0.5060355288679541,1.2502054242620044,0.5449613387808737,0.0,0.0
Pkp3,39.237216392222905,34.41041596302089,31.255135606550116,32.42519965746199,63.45540258646575,87.37546798453342
Pkp4,29.25581923981532,36.940593607360654,33.75554645507412,34.06008367380461,31.320935892037582,23.614991347171195
Pla2g12b,112.89304365481678,102.21917683132673,91.26499597112631,61.035669943457854,42.71036712550579,36.01286180443607
Plaa,20.99535263092629,9.108639519623175,5.000821697048018,5.994574726589611,2.8473578083670534,4.132623485754959
Plac8,6060.429002054921,3401.5708250503876,2434.1499610381225,1125.890125921285,257.48249895662065,82.65246971509919
Plb1,6.883722174074194,15.68710139490658,0.0,3.2697680326852425,4.88118481434352,2.361499134717119
Plbd1,33.38605254425984,26.31384750113362,12.502054242620044,12.534110791960096,6.915011820319986,16.530493943019835
Plcb3,149.37677117741,79.44757803226881,61.26006578883822,48.22907848210732,32.13446669442817,18.891993077736952
Plcd1,5.851163847963065,6.072426346415449,5.000821697048018,1.907364685733058,2.0338270059764665,1.1807495673585595
Pld1,80.53954943666807,50.60355288679541,48.75801154621817,34.60504501258548,24.405924071717596,15.940119159340556
Plec,93.27443545870534,133.59337962113992,136.2723912445585,137.6027380421706,195.65415797493608,197.18517774887948
Plekha6,38.20465806611178,16.19313692377453,8.75143796983403,13.896514138912279,19.117973856178786,39.55511050651175
Plekha7,38.893030283519195,10.120710577359082,7.501232545572027,12.261630122569656,9.355604227491746,2.9518739183963993
Plekhg6,26.846516478889356,46.55526865585179,46.25760069769416,40.05465840039422,31.727701293232876,31.289863535001835
Plgrkt,80.88373554537178,51.10958841566337,27.504519333764097,30.790315641119363,19.52473925737408,15.349744375661277
Plin3,202.3814319177813,272.7531500598273,260.0427282464969,249.59229316164016,236.3306980944654,273.34352484350654
Plp2,33.04186643555614,1.5181065866038623,0.0,1.3624033469521841,0.0,0.0
Plrg1,6.539536065370485,5.5663908175474965,2.500410848524009,1.3624033469521841,4.474419413148226,2.361499134717119
Pls1,547.2559128388984,947.2985100408101,911.3997542870013,756.4063382278528,426.29014045266746,200.13705166727587
Pls3,0.6883722174074195,0.0,0.0,0.0,0.0,0.0
Plxnb2,75.03257169740871,71.35100957038154,65.01068206162422,59.67326659650566,52.06597135299754,44.86848355962527
Pm20d1,26.846516478889356,28.844025145473392,13.752259666882049,14.168994808302717,2.8473578083670534,2.361499134717119
Pml,13.423258239444678,4.554319759811587,11.25184881835804,7.629458742932232,4.067654011952933,4.132623485754959
Pmm2,83.29303830629775,40.98887783830428,31.255135606550116,27.793028277824558,25.62622027530348,18.30161829405768
Pmpca,26.15814426148194,12.144852692830899,10.001643394096035,8.446900751103541,6.915011820319986,5.313373053113518
Pnkp,15.488374891666936,10.626746106227037,7.501232545572027,9.264342759274854,5.287950215538813,5.903747836792799
Pnn,55.06977739259355,24.289705385661797,26.254313909502095,14.441475477693153,15.050319844225852,10.626746106227037
Pnp,143.86979343815065,151.30462313151827,113.76869360784238,124.2511852420392,81.35308023905867,80.88134536406135
Pnpt1,7.227908282777904,4.048284230943633,2.500410848524009,1.907364685733058,0.4067654011952933,0.5903747836792798
Pof1b,25.12558593537081,17.205207981510444,13.752259666882049,13.896514138912279,11.796196634663506,15.940119159340556
Poldip2,27.19070258759307,13.15692375056681,8.75143796983403,7.901939412322669,3.6608886107576404,0.5903747836792798
Poldip3,39.237216392222905,29.85609620320929,30.004930182288106,19.346127526721016,17.897677652592904,14.759369591981995
Polr1e,0.34418610870370975,1.5181065866038623,0.0,0.0,0.0,0.0
Polr2a,25.12558593537081,22.771598799057934,33.75554645507412,20.981011543063637,20.745035460959958,13.578620024623437
Polr2b,11.358141587222422,5.060355288679541,2.500410848524009,2.7248066939043682,4.067654011952933,0.5903747836792798
Polr2c,38.893030283519195,23.783669856793846,20.00328678819207,10.899226775617473,6.508246419124693,5.313373053113518
Polr2e,51.97210241426016,26.31384750113362,20.00328678819207,12.806591461350532,6.101481017929399,1.7711243510378396
Polr2h,19.618608196111452,5.060355288679541,2.500410848524009,2.179845355123495,2.44059240717176,0.0
Pon2,90.52094658907565,75.39929380132516,81.26335257703029,69.21009002517096,35.79535530518581,24.795740914529755
Pon3,14.111630456852097,9.108639519623175,10.001643394096035,5.994574726589611,3.6608886107576404,4.132623485754959
Por,76.06513002351984,77.42343591679699,80.01314715276828,89.91862089884415,133.82581699325152,161.1723159444434
Ppa1,396.50239722667357,362.82747419832316,275.04519333764097,171.93530238536567,68.33658740080928,14.759369591981995
Ppa2,46.80931078370452,22.265563270189986,16.252670515406056,3.2697680326852425,2.0338270059764665,0.5903747836792798
Ppcs,36.139541413889525,29.85609620320929,30.004930182288106,19.618608196111452,9.76236962868704,2.361499134717119
Ppia,1143.7304392224273,206.46249577812526,108.76787191079438,48.7740398208882,31.320935892037582,14.168994808302717
Ppib,225.09771509222614,113.35195846642173,88.76458512260233,45.77675245759339,27.253281880084653,18.891993077736952
Ppid,16.176747109074356,5.060355288679541,3.7506162727860133,1.907364685733058,2.0338270059764665,0.5903747836792798
Ppie,6.883722174074194,2.5301776443397705,1.2502054242620044,1.0899226775617474,1.22029620358588,0.5903747836792798
Ppif,23.748841500555972,6.578461875283405,6.251027121310022,3.814729371466116,1.22029620358588,0.5903747836792798
Ppil1,18.241863761296617,6.578461875283405,3.7506162727860133,2.9972873632948054,2.0338270059764665,0.5903747836792798
Ppil2,32.35349421814871,22.771598799057934,22.50369763671608,20.7085308736732,13.016492838249386,6.494122620472079
Ppip5k2,48.53024132722307,46.55526865585179,45.00739527343216,37.32985170648985,17.897677652592904,10.036371322547756
Ppm1a,85.0139688498163,84.0018977920804,47.50780612195617,48.7740398208882,37.422416909966984,33.65136266971895
Ppm1b,74.34419948000131,56.169943704342906,50.00821697048018,45.504271788202956,33.761528299209346,19.482367861416236
Ppm1g,36.139541413889525,14.67503033717067,17.50287593966806,8.174420081713107,4.88118481434352,0.5903747836792798
