gene,"mRNA (scaled to molecules/cell), V1","mRNA (scaled to molecules/cell), V2","mRNA (scaled to molecules/cell), V3","mRNA (scaled to molecules/cell), V4","mRNA (scaled to molecules/cell), V5","mRNA (scaled to molecules/cell), V6","protein (scaled to molecules/cell), V1","protein (scaled to molecules/cell), V2","protein (scaled to molecules/cell), V3","protein (scaled to molecules/cell), V4","protein (scaled to molecules/cell), V5","protein (scaled to molecules/cell), V6","protein SEM (scaled to molecules/cell), V1","protein SEM (scaled to molecules/cell), V2","protein SEM (scaled to molecules/cell), V3","protein SEM (scaled to molecules/cell), V4","protein SEM (scaled to molecules/cell), V5","protein SEM (scaled to molecules/cell), V6","mRNA (mean-normalized), V1","mRNA (mean-normalized), V2","mRNA (mean-normalized), V3","mRNA (mean-normalized), V4","mRNA (mean-normalized), V5","mRNA (mean-normalized), V6","protein (mean-normalized), V1","protein (mean-normalized), V2","protein (mean-normalized), V3","protein (mean-normalized), V4","protein (mean-normalized), V5","protein (mean-normalized), V6","protein SEM (mean-normalized), V1","protein SEM (mean-normalized), V2","protein SEM (mean-normalized), V3","protein SEM (mean-normalized), V4","protein SEM (mean-normalized), V5","protein SEM (mean-normalized), V6","protein model MAP (mean-normalized), V1","protein model MAP (mean-normalized), V2","protein model MAP (mean-normalized), V3","protein model MAP (mean-normalized), V4","protein model MAP (mean-normalized), V5","protein model MAP (mean-normalized), V6","protein model MAP (scaled to molecules/cell), V1","protein model MAP (scaled to molecules/cell), V2","protein model MAP (scaled to molecules/cell), V3","protein model MAP (scaled to molecules/cell), V4","protein model MAP (scaled to molecules/cell), V5","protein model MAP (scaled to molecules/cell), V6",beta MAP (proteins/(mRNA*hour)),delta MAP (1/hour),half life MAP (hours),beta HDI68 lower bound (proteins/(mRNA*hour)),beta HDI68 upper bound (proteins/(mRNA*hour)),delta HDI68 lower bound (1/hour),delta HDI68 upper bound (1/hour),filter1_pval>0.05,filter2_confidence_intervals<4fold,filter_passed_both
Rhpn2,53.34884684907501,24.795740914529752,22.50369763671608,10.899226775617473,25.219454874108187,106.85783584594965,21555.89037279189,17805.73369541575,15183.095561255624,34280.27427100517,45984.65772644744,64638.34558364635,15169.568775648753,4501.530332019815,9373.876286933271,10609.957561022138,11052.138721553303,20217.244161050137,1.3138772296148287,0.6106703575279673,0.5542218370842057,0.26842653078152406,0.6211055994542827,2.6316984455371926,0.6484664877341877,0.5356504134744796,0.45675351290371047,1.03125450494691,1.3833578186668967,1.9445172622738156,0.4563465862121602,0.13541967013890155,0.28199459763049023,0.31917966716369506,0.3324818160962113,0.6081959541475752,0.12423100614933055,0.6601532089549773,0.9245105460461429,1.0612995697899588,1.2062269347144567,2.023578734345133,4129.604227989504,21944.37256303267,30731.962801491078,35279.01227250643,40096.59105170567,67266.45429383687,135.1722284471292,0.005835993824086553,118.77106135704939,55.15416455113392,565.2972476694089,0.002922182902582897,0.017714489380508583,True,False,False
Ripk1,17.553491543889194,16.193136923774528,17.502875939668062,18.528685518549707,18.71120845498349,15.349744375661276,2194.4583266863283,3698.032673418225,14837.284807590691,16087.547644073842,21364.443634385414,18970.62693487312,1900.4566584566512,2137.1754426111984,11470.451194055651,9681.617222909888,10828.310811539759,9408.957247634333,1.0142702112851927,0.935666637488114,1.0113455566967118,1.0706185563565924,1.0811650380544475,0.8869340001189416,0.1706589941529153,0.28758920992732945,1.1538683922274795,1.2510990370322848,1.6614735476824691,1.4753108189775217,0.14779502432072464,0.16620420945294725,0.892035924971771,0.7529215920587918,0.842097846653096,0.731717326495659,0.04378708008232701,0.4993278197754085,0.8836936762399066,1.2396406508893292,1.5559488943156776,1.7776018786973509,563.0463425903307,6420.7227828288305,11363.18045052528,15940.207323649442,20007.53036180424,22857.70675962949,77.90594991640329,0.008895605141008288,77.92018300863784,28.28207016916766,421.2418822297098,0.00404361657946829,0.027256639553530262,True,False,False
Ripk3,17.553491543889194,1.0120710577359082,6.251027121310022,3.5422487020756788,5.694715616734108,0.5903747836792798,17383.14443806396,51488.868835595684,49463.981570196134,52789.24112816323,37612.121417976,27549.118307577046,8685.580845695897,13347.881454842487,20287.177773352338,11214.862650376486,14949.763771676491,5662.1618905474625,3.0400983039210927,0.17528111136052985,1.082618628991508,0.6134838897618545,0.9862707510047043,0.10224731496030907,0.44140853309724776,1.3074519483247282,1.2560341786173013,1.3404721782484734,0.9550810212121459,0.6995521405001038,0.22055212817544628,0.3389414840295824,0.5151503753262201,0.28477794043694543,0.3796179293175714,0.1437787382582467,0.5541586528826918,1.3157764057513142,1.094095954138086,1.0933479995072817,1.1011327333080358,0.8414882544125898,21823.36584449424,51816.694953499435,43086.67951304346,43057.22425242772,43363.79547143172,33138.71566267545,321.38726751672243,0.04413654586686518,15.704608662643775,157.35636931028634,856.1331834656835,0.026921738875283523,0.12298387546052733,True,True,True
Rmdn1,24.093027609259682,17.711243510378395,8.751437969834031,5.4496133878087365,2.44059240717176,1.1807495673585595,14919.97443093051,55769.5220661684,61053.49287062162,90021.77276991814,60944.61271085202,79599.22541067185,8834.082460779302,15386.854340033315,25673.395460193955,1999.42861685285,10501.617011650624,15233.709581168674,2.424387930879255,1.7822137468070711,0.8806232631281999,0.5483734605560219,0.24558734884231415,0.11881424978713806,0.2470817599183368,0.9235693885203272,1.0110744182216407,1.4908026920507784,1.0092713118141463,1.3182004294747707,0.14629654037127804,0.2548135097377257,0.42516344533631634,0.03311147373409255,0.17391169302862905,0.2522773608510292,0.036852041597982235,1.003973157527199,1.3716790349192372,1.3675663099113875,1.2163679007577215,1.0035615552864725,2225.3019346762294,60624.68490024187,82828.51852440463,82580.17258426383,73450.09192061768,60599.83039495834,1136.803733499635,0.014556848549030369,47.616568807821785,510.816429102603,2748.433692200529,0.011184227379300334,0.02226661391252681,False,True,False
Rmdn3,116.33490474185386,133.0873440922719,130.02136412324845,83.37908483347367,52.87950215538814,27.157240049246873,253235.77790682638,660155.9620758031,1103645.154423523,1247726.8337014671,1263945.178469158,1312063.3688877977,68551.72181915997,169407.70556150939,149649.89558300585,202485.21065943677,304485.0259763758,221511.3914155558,1.2858014009242087,1.4709591576049152,1.4370721539741156,0.9215544064316259,0.5844551822382769,0.30015769882685855,0.2601393438712869,0.678152748583194,1.1337320844296115,1.28174163434806,1.2984021141642168,1.3478320746036303,0.07042053884599432,0.1740259995478437,0.1537295636862706,0.20800524428252706,0.312785719027702,0.22755010567290443,0.2638191709371425,0.7054582953537419,1.0952036069944644,1.3169288291596932,1.3502630800982338,1.2683270174567238,256817.949890952,686736.8754997727,1066139.1439536782,1281980.2323526605,1314429.8604701946,1234668.213297318,214.54413372367455,0.010030589520425815,69.10333427047865,141.38949053653283,312.225236044622,0.00519326165388092,0.0229636778534057,True,True,True
Rnasel,69.18140784944565,47.061304184719745,48.75801154621818,30.79031564111936,32.541232095623464,47.82035747802166,7435.025050265431,13066.83425776949,6941.9084880167175,16092.617855693838,15889.055185958685,25104.9037514286,3995.292024557661,5646.36009308381,4090.559028893587,7010.475915359675,8310.091712303252,10156.979274854168,1.5031124234004283,1.022506381128028,1.0593709375633837,0.6689847373633332,0.7070271010115086,1.0389984195333184,0.527741256922874,0.9274894823591692,0.4927396325018061,1.1422608958177163,1.1278119304864198,1.7819568019120149,0.283587536095621,0.40078105351599674,0.29034962879492177,0.49760657781070566,0.5898538627302555,0.7209467315593991,0.2542290641303598,0.7396799800689547,1.0482362215571377,1.2240044312631349,1.2968550710719902,1.4369952319084234,3581.678399252007,10420.900600151932,14767.961503172559,17244.252725549708,18270.6010066466,20244.950354359957,15.419338911231794,0.010237832351396041,67.70448633742542,7.069884351915455,139.78816739327812,0.003921482563773639,0.04717349184307283,True,False,False
Rnf121,36.82791363129694,33.90438043415293,22.50369763671608,23.70581823696801,17.897677652592908,10.626746106227037,12459.813709347736,33329.02131539335,48389.47924942021,64655.37318132143,62559.86173274116,61434.775025838615,6603.348551919961,10020.29635599676,17666.18854843142,7184.950417188157,13141.269137736155,16564.479145934958,1.5190293731437254,1.3984433186557361,0.9282029402139917,0.9777864306100384,0.7382198822754555,0.43831805510105165,0.26432600929850336,0.7070512773006671,1.0265480881496714,1.3716173589258929,1.3271625868431451,1.3032946794821199,0.1400853023530018,0.21257339873242878,0.37477551650860513,0.15242356868932536,0.2787825973424784,0.35140354188991135,0.2043388412828964,0.7843580975254073,1.103714312186983,1.265551861072155,1.347510217257283,1.2945266706752758,9632.135341980815,36973.11438447353,52026.944887820166,59655.65201217095,63519.00943470077,61021.468152916306,63.791500075278385,0.01327294706350297,52.22255292993018,29.739638123448394,179.14540257977066,0.006465095040846624,0.03250462572136025,True,True,True
Rnf170,18.241863761296614,15.68710139490658,25.00410848524009,18.256204849159264,10.169135029882334,2.9518739183964,0.0,0.0,16947.869848551636,56870.23448148661,57758.18467310207,25815.029769748475,3820.8149987659885,5580.5993475544565,16947.869848551636,21265.533127314862,19732.671910335484,15516.748955704978,1.2119458997608912,1.0422135842844953,1.6612133032238632,1.2128986874179357,0.675613065904442,0.19611545940837277,0.0,0.0,0.6460789571122508,2.1679811157900803,2.2018311476166796,0.9841087794809888,0.14565536505654353,0.21274106060222175,0.6460789571122508,0.8106749454714369,0.7522399099587889,0.5915224197884207,0.0,0.4666130848853566,0.9633566107319887,1.4181173344575573,1.6023942499245298,1.549518720000567,0.0,12240.141464465363,25270.661235281368,37199.8929074948,42033.82403161929,40646.799134027984,97.24699447919627,0.008111550021216874,85.45187772336034,19.828525419265112,462.7287819663583,0.0040040199241730716,0.02465507373823096,True,False,False
Rnf213,28.223260913704195,37.95266466509656,35.005751879336124,31.0627963105098,10.575900431077628,4.722998269434238,8022.712297786297,15892.688326647294,17618.469227229118,16629.58737839205,14439.448485783296,12777.112033756082,2767.924501949942,3945.503682885973,3835.483725199319,2658.7037092758333,2915.132159604997,1002.1488795874367,1.147727360763851,1.543383373849473,1.4235441942329257,1.2631999305967994,0.4300796540334609,0.19206548652348995,0.5637885193218597,1.1168436417938907,1.238121262441143,1.1686285257398719,1.0147185863651522,0.8978994643380817,0.19451327663583903,0.27726653989162897,0.2695349914155447,0.1868378887252085,0.20485815555728348,0.0704250647400832,0.5888928174503824,0.9102619232828492,1.1686612718593148,1.2851292719256129,1.1627186733407384,0.8843360421411027,8379.946534420358,12953.02986111156,16630.053355768596,18287.393341255305,16545.490161269467,12584.104495768865,13.515358556954894,0.0215869932177564,32.10948248178428,7.366912127870123,24.266274302720323,0.01627612053070666,0.0353999056398714,True,True,True
Rnf5,114.95816030703905,64.26651216623017,32.50534103081211,35.967448359537656,18.304443053788198,10.036371322547756,34447.23462119638,27342.320687844433,67158.86385522646,96940.85107143207,99144.4189721375,59686.38315831576,29832.180272079022,27342.320687844433,38895.88505757122,20086.013582692063,5774.266696654662,20574.56538518291,2.498743910582344,1.3969043650388069,0.7065398641141164,0.7817926307061523,0.3978674980105256,0.21815173154805514,0.5372306322776678,0.4264241351330644,1.0473931881252427,1.5118657647657614,1.5462320699156762,0.9308542097825865,0.4652553752436385,0.4264241351330644,0.6066106946541515,0.3132565471693212,0.09005404882268384,0.3208758813956759,0.06414939235520925,0.7994170582298321,1.1171516626534832,1.287003973010474,1.3786416641743509,1.35363624957665,4113.259811523471,51258.63141548632,71631.77808333597,82522.71027201926,88398.52013469159,86795.17264909606,245.64580236107207,0.005674118929651415,122.15943817069909,87.15818172666292,767.0957700674063,0.00272773646831162,0.013894726000177724,True,True,True
