,V1,V2,V3,V4,V5,V6
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep4.0,10335.209234646029,33106.76499715645,37276.52526213508,27582.039083909596,18435.99647303473,10880.111405546546
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep40.0,11248.091594114425,36298.91901158209,31925.975729916805,24037.528036947402,19808.30893649959,10345.864052548466
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep41.0,9531.393139336315,30982.055716435956,33953.66342913538,27489.05896990801,17622.64069081815,11884.968631090545
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep42.0,9347.556485331672,36343.62927811389,35175.52125344589,25104.813750582834,17984.247323167725,12689.250420929744
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep43.0,9989.099892754239,37127.53375541185,36365.96176198924,31156.64979471767,21671.674477575878,11422.55211140576
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep44.0,9754.56903714899,31144.09226467985,32136.864401437393,23838.42345735355,19875.530172948558,10038.684656552557
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep45.0,10035.053778495412,33852.37999029744,36172.60112166581,26099.6354211697,18963.16927405536,10514.41946203461
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep46.0,10984.000019709125,32168.723972844837,34898.86682590828,24881.457081269928,18723.78468008623,10906.08657663198
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep47.0,10033.393989637452,32284.653892532842,36932.25151241172,29445.499177662598,19580.22299668492,10538.458646344521
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep48.0,10526.987533689804,31881.040210329604,35187.28668187029,26301.866708611313,17741.101159511105,11305.11267403029
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep49.0,9736.692078167576,31539.729598912363,34815.50066086138,28476.214882549237,18642.244772454986,10784.747342371427
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep5.0,10223.28251659601,34843.07989842172,35791.27347811863,26392.07892101562,19430.16192492569,10140.917384661301
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep50.0,10105.93952529378,32895.8009004679,32890.05058477231,26884.71610541881,17755.60580546847,10663.579497153172
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep51.0,9807.313598630124,33790.60097456829,37533.19580861736,30102.641849371637,18191.644398441626,10091.676891149978
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep52.0,10384.407372273437,36561.54207078717,37564.20770796659,27015.220493786335,18068.320936186337,9464.784998887515
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep53.0,9832.006199052652,31365.84815956909,36531.096259139056,27934.553788211357,19292.92629127244,10905.621709809002
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep54.0,10156.63166830007,30122.769741953292,32852.5450699485,28207.117919372875,18658.422890896647,10631.13318065969
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep55.0,9930.560792550825,33054.92575385999,34738.35379638214,29199.706435167624,19784.667844440293,10203.767988603915
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep56.0,10035.219313380137,33103.637806986626,34381.024766391856,27445.76116847832,16908.079849690028,11592.498879599034
