,V1,V2,V3,V4,V5,V6
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep1.0,30.0,27.693490391599074,21.784471112210728,14.602567678799153,8.341119013595826,4.060058497098382
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep10.0,30.0,27.693490391599074,21.784471112210728,14.602567678799153,8.341119013595826,4.060058497098382
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep100.0,30.0,27.693490391599074,21.784471112210728,14.602567678799153,8.341119013595826,4.060058497098382
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep11.0,30.0,27.693490391599074,21.784471112210728,14.602567678799153,8.341119013595826,4.060058497098382
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep12.0,30.0,27.693490391599074,21.784471112210728,14.602567678799153,8.341119013595826,4.060058497098382
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep13.0,30.0,27.693490391599074,21.784471112210728,14.602567678799153,8.341119013595826,4.060058497098382
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep14.0,30.0,27.693490391599074,21.784471112210728,14.602567678799153,8.341119013595826,4.060058497098382
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep15.0,30.0,27.693490391599074,21.784471112210728,14.602567678799153,8.341119013595826,4.060058497098382
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep16.0,30.0,27.693490391599074,21.784471112210728,14.602567678799153,8.341119013595826,4.060058497098382
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep17.0,30.0,27.693490391599074,21.784471112210728,14.602567678799153,8.341119013595826,4.060058497098382
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep18.0,30.0,27.693490391599074,21.784471112210728,14.602567678799153,8.341119013595826,4.060058497098382
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep19.0,30.0,27.693490391599074,21.784471112210728,14.602567678799153,8.341119013595826,4.060058497098382
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep2.0,30.0,27.693490391599074,21.784471112210728,14.602567678799153,8.341119013595826,4.060058497098382
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep20.0,30.0,27.693490391599074,21.784471112210728,14.602567678799153,8.341119013595826,4.060058497098382
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep21.0,30.0,27.693490391599074,21.784471112210728,14.602567678799153,8.341119013595826,4.060058497098382
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep22.0,30.0,27.693490391599074,21.784471112210728,14.602567678799153,8.341119013595826,4.060058497098382
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep23.0,30.0,27.693490391599074,21.784471112210728,14.602567678799153,8.341119013595826,4.060058497098382
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep24.0,30.0,27.693490391599074,21.784471112210728,14.602567678799153,8.341119013595826,4.060058497098382
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep25.0,30.0,27.693490391599074,21.784471112210728,14.602567678799153,8.341119013595826,4.060058497098382
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep26.0,30.0,27.693490391599074,21.784471112210728,14.602567678799153,8.341119013595826,4.060058497098382
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep27.0,30.0,27.693490391599074,21.784471112210728,14.602567678799153,8.341119013595826,4.060058497098382
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep28.0,30.0,27.693490391599074,21.784471112210728,14.602567678799153,8.341119013595826,4.060058497098382
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep29.0,30.0,27.693490391599074,21.784471112210728,14.602567678799153,8.341119013595826,4.060058497098382
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep3.0,30.0,27.693490391599074,21.784471112210728,14.602567678799153,8.341119013595826,4.060058497098382
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep30.0,30.0,27.693490391599074,21.784471112210728,14.602567678799153,8.341119013595826,4.060058497098382
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep31.0,30.0,27.693490391599074,21.784471112210728,14.602567678799153,8.341119013595826,4.060058497098382
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep32.0,30.0,27.693490391599074,21.784471112210728,14.602567678799153,8.341119013595826,4.060058497098382
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep33.0,30.0,27.693490391599074,21.784471112210728,14.602567678799153,8.341119013595826,4.060058497098382
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep34.0,30.0,27.693490391599074,21.784471112210728,14.602567678799153,8.341119013595826,4.060058497098382
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep35.0,30.0,27.693490391599074,21.784471112210728,14.602567678799153,8.341119013595826,4.060058497098382
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep36.0,30.0,27.693490391599074,21.784471112210728,14.602567678799153,8.341119013595826,4.060058497098382
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep37.0,30.0,27.693490391599074,21.784471112210728,14.602567678799153,8.341119013595826,4.060058497098382
