gene,beta_0,delta_0
Eif4h,76.75391638,0.017442355
Eif5,6.967676456,0.002723545
Eif5a,52.45655791,0.007071057
Eif5b,27.45850013,0.008730681
Eif6,289.3979198,0.035028152
Elac2,73.8102943,0.008229026
Elavl1,206.7227762,0.012896517
Elmo3,58.39273085,0.0161106
Elmod2,97.50294599,0.025725359
Elovl1,95.7488685,0.017470097
Emc1,405.1912588,0.024977361
Emc10,96.96055018,0.010046854
Emc2,255.9516831,0.01427772
Emc3,151.3026702,0.01321025
Emc4,56.19341024,0.007923472
Emd,65.69044179,0.012588868
Eml4,7.358757642,0.006420399
Endod1,466.5011076,0.00358109
Endog,48.78574497,0.006468451
Engase,43.29898569,0.011648641
Eno1,918.7992168,0.006118338
Enpep,188.9232727,0.006762353
Enpp3,1376.010092,0.274446195
Entpd5,328.1508931,0.015653734
Entpd7,96.2915501,0.018712643
Entpd8,100.006234,0.012821974
Epb41,45.94332575,0.00520741
Epb41l2,40.80178256,0.010210051
Epb41l3,333.0180248,0.00722463
Epb41l4b,49.41010334,0.010360801
Epcam,138.1322229,0.012273167
Ephx2,178.498859,0.010218962
Epn1,27.59805027,0.024437045
Eprs,163.7339451,0.004050751
Eps15,31.62463238,0.007350371
Eps15l1,97.9071838,0.014513733
Eps8,118.5416372,0.027831942
Eps8l2,110.9906136,0.017613197
Eps8l3,225.4246206,0.022922309
Ept1,342.6978223,0.006510956
Erap1,1458.511065,0.003796644
Erbb2,84.04993978,0.013162696
Erbb2ip,62.19332492,0.015942352
Erbb3,11.6639425,0.009306908
Ergic3,23.91348184,0.016901832
Erh,107.192069,0.004598144
Erlin1,176.3708316,0.009275357
Erlin2,781.257834,0.01235436
Ermp1,33.14585187,0.047165491
Ero1l,158.0720282,0.009451459
Ero1lb,84.45581552,0.008212285
Erp29,222.7250854,0.004346557
Erp44,747.70024,0.018031092
Esd,140.0315216,0.005379216
Espn,96.7246111,0.006805321
Esrp1,40.53337162,0.075168798
Esyt2,33.62233651,0.019109697
Etf1,23.95821598,0.005460536
Etfa,935.2533191,0.014033822
Etfb,1512.042564,0.011956521
Etfdh,1233.96728,0.01284104
Ewsr1,53.24504341,0.005254112
Exoc1,94.4348246,0.008184408
Exoc3l4,47.00038168,0.015171958
Exoc8,98.77377524,0.009654901
Exosc3,13.65890065,0.13758611
Exosc4,98.76532389,0.005292576
Exosc9,48.45717476,0.008023691
Ezr,463.4427174,0.010942458
F11r,126.1368395,0.014920137
Faah,179.5427473,0.011553219
Fabp1,38.27474525,0.002191636
Fabp2,105.6565399,0.001879036
Fabp6,743.2615452,0.006554997
Faf1,98.0970244,0.036567163
Faf2,277.8193662,0.016280776
Fahd1,84.69825933,0.00673474
Fam114a1,64.24193957,0.010637512
Fam114a2,11.56442786,0.006862424
Fam120b,94.10891851,0.012306329
Fam129b,94.44272381,0.00813149
Fam134c,20.45456078,0.007563969
Fam136a,156.5487136,0.009228259
Fam162a,13.90480955,0.052204602
Fam175b,97.75401602,0.017740972
Fam20b,64.44014294,0.023375541
Fam210b,201.6572755,0.009558432
Fam213a,161.1076961,0.024477276
Fam213b,21.70364428,0.009011259
Fam3a,181.031156,0.012667966
Fam3b,117.2897973,0.011750267
Fam3c,277.2738061,0.027640741
Fam49b,30.68861332,0.011103921
Fam63a,52.23108454,0.010210295
Fam73b,97.69081498,0.006768316
Fam83b,62.37668563,0.010929609
Fam83h,171.7607003,0.009005464
Fam96a,94.83153073,0.004446367
Fam98a,48.78944022,0.0125626
Fam98b,107.0177171,0.007629274
Farp1,103.1427399,0.010883728
Farp2,59.90998369,0.014454777
Farsa,204.5619593,0.003447559
Farsb,92.64788842,0.00437828
Fas,98.07985732,0.004870654
Fasn,50.95512581,0.004247056
Fau,24.73805235,0.022608456
Fbl,141.197602,0.008880744
Fblim1,59.63643061,0.006830988
Fbp1,114.6787632,0.005791522
Fbp2,150.136215,0.006569397
Fbxo9,97.33173602,0.068092742
Fdx1,200.6742554,0.005713075
Fdxacb1,304.3838598,0.010056662
Fdxr,166.0758184,0.00810511
Fech,51.64549839,0.016660169
Fen1,108.3639247,0.019721164
Fermt1,15.002941,0.039416462
Fgd4,95.61303653,0.00740341
Fhl1,197.2232515,0.009159267
Fignl1,95.52405136,0.209737623
Fip1l1,34.53166819,0.006983587
Fis1,229.6904609,0.005938519
Fkbp1a,120.5382634,0.003318736
Fkbp2,220.9472132,0.007387439
Fkbp3,44.63143353,0.010358598
Fkbp4,31.54587612,0.005995973
Fkbp5,171.1188176,0.009317159
Fkbp8,141.8816691,0.018939073
Flad1,44.3277947,0.011446948
Flii,150.9931502,0.022974864
Flna,5599.39923,0.150926981
Flnb,318.8029454,0.009073731
Fmn1,96.70996604,0.030896621
Fmo4,130.9997575,0.015277104
Fmo5,222.1453007,0.017980668
Fmr1,41.65072135,0.019557677
Fndc3a,9.010517739,0.05056918
Fnta,224.1787823,0.004923055
Fosl1,29.29362064,0.000306678
Frk,86.78862365,0.014137522
Fth1,97.08269166,0.007923083
Ftl1,87.98999519,0.009013672
Fubp1,27.33203896,0.007406817
Fuca1,12.38553059,0.0038191
Fus,131.2940776,0.008900898
Fut8,54.9057965,0.026330697
Fxr1,53.92426343,0.012495021
Fxr2,97.1317355,0.011377231
G3bp1,158.3997375,0.023519073
G3bp2,33.01965062,0.008330054
G6pdx,222.8838692,0.003558148
Gadd45gip1,119.4769592,0.006028769
Gak,41.50148327,0.021327883
Gal3st2,56.91509436,0.038171746
Gale,1787.738452,0.217412738
Galm,198.5472594,0.005428614
Galnt1,50.74240812,0.013918951
Galnt3,38684.12014,9.565518775
Galnt5,74.53704279,0.109163731
Galnt6,35.35000516,0.032389755
Galnt7,20.25495693,0.022365464
Ganab,454.326222,0.008893724
Gapdh,109.6407106,0.013018026
Gar1,96.63729968,0.047478061
Gart,101.3019711,0.003709487
Gata4,42.06736317,0.025763477
Gata6,96.54750575,0.018128593
Gatad2a,46.68703311,0.02078045
Gatad2b,50.52542743,0.009290597
Gatb,98.38335081,0.006428298
Gba,59.73743998,0.015724772
Gbas,76.43596317,0.009705402
Gcat,333.3460978,0.017404542
Gcc1,96.29490488,0.007796388
Gcc2,79.60679988,0.051210184
Gcdh,122.700604,0.002315753
Gclm,28.33898314,0.291542849
Gcn1l1,38.68708156,0.005128744
Gcsh,881.1235027,0.00705366
Gda,98.81821835,0.00581812
Gde1,94.884787,0.007791686
Gdi1,102.324136,0.014116632
Gdi2,86.15162124,0.009589353
Gdpd1,264.4658938,0.005729278
Gdpd2,28.42607439,0.02146516
Get4,37.92941905,0.02428532
Gfer,24.60245725,0.003472737
Gfm1,384.397041,0.012696764
Gfm2,144.0902119,0.0108198
Gfpt1,104.4162193,0.006401297
Gga1,97.19327977,0.005261609
Ggt1,40.30525872,0.021180291
Ghitm,113.2535358,0.015894829
Gigyf2,11.48594613,0.014749962
Gipc2,75.97814082,0.012833542
Gk,54.2056486,0.00450657
Glg1,250.7968195,0.009278577
Glipr2,148.6352281,0.00612045
Glo1,30.17109635,0.010498685
Glod4,159.26778,0.004198241
Glod5,108.256483,0.003305605
Glrx,117.7970618,0.006869315
Glrx3,571.1384038,0.006415431
Glrx5,54.51899153,0.028005645
Gls,154.79522,0.012927033
Gltp,99.14257387,0.004189907
Glud1,711.8026378,0.005845181
Glul,69.05123213,0.1156887
Glyr1,78.0647714,0.02132352
Gmds,53.67312049,0.004213388
Gmfb,179.3929413,0.013519818
Gmppa,93.80327049,0.008317928
Gmppb,92.02499901,0.006237465
Gmps,46.44937805,0.013267901
Gna11,117.2492477,0.005281259
Gna13,104.9914667,0.454756219
Gnai2,47.86372756,0.001122307
Gnai3,230.0813597,0.019714634
Gnaq,98.20428673,0.010817353
Gnas,26.38557769,0.053372886
Gnb1,124.5305425,0.011986951
Gnb2l1,17.74555703,0.005634448
Gng12,85.28865551,0.007307021
Gnl3,34.47072586,0.13254563
Gnpda1,234.7209819,0.005043946
Gns,38.14180301,0.043335946
Golga1,28.2849492,0.012497417
Golga2,100.9694586,0.010556885
Golga4,7.631451581,0.0114816
Golga5,162.4338634,0.014031817
Golim4,57.22690163,0.018482246
Golph3,30.67231293,0.013837121
Golph3l,28.81634631,0.015919664
Gorasp2,180.8992777,0.008286705
Gosr1,137.2523642,0.018828728
Gosr2,96.52573342,0.020515906
Got1,254.4899647,0.006661953
Got2,1366.75907,0.015329168
Gpa33,829.0986555,0.02528045
Gpd1,294.9631417,0.004620661
Gpd1l,92.75935261,0.006055458
Gpd2,1452.452702,0.069666455
Gphn,36849.26824,0.000100827
Gpr39,97.55875122,0.007731325
Gprc5a,97.37419639,0.008315568
Gps1,40.26657142,0.008707522
Gpt,338.1579068,0.004686263
Gpx1,22.07405445,0.001902387
Gpx2,28.99906872,0.002740183
Gpx4,12.55489976,0.010899914
Gramd1b,95.63606466,0.014802788
Gramd1c,94.0679168,0.019220263
Gramd3,99.88115927,0.026545234
Grb2,96.72070476,0.007280892
Grhpr,134.334038,0.004971269
Grpel1,292.8702865,0.00802689
Grsf1,79.17628219,0.008899324
Grtp1,123.6067151,0.007896879
Gsk3a,96.66290837,0.012932268
Gsk3b,13.25443379,0.009979546
Gsn,329.5624298,0.0095431
Gspt1,32.68205978,0.007575627
Gsr,177.1836598,0.003018892
Gss,81.26603859,0.005369986
Gsta1,171.7793829,0.00476413
Gsta4,64.22000837,0.055949878
Gstk1,264.3900919,0.014522064
Gstm1,110.368937,0.001225339
Gstm2,697.9696225,0.003905693
Gstm3,157.6994706,0.003800717
Gsto1,141.6379416,0.005184146
Gstp1,64.49637611,0.008361107
Gstt2,73.46152202,0.010357457
Gtf2a1,98.93351881,0.011744514
Gtf2b,97.60780322,0.007042018
Gtf2f1,33.90910362,0.021833015
Gtpbp1,51.8235225,0.051102603
Gucy2c,34.6364699,0.027733193
Guk1,34.79433555,0.005112728
H1f0,156.3464451,0.001933102
H2-Aa,29.96608026,0.075287133
H2-Ab1,51.57340765,0.037066965
H2-D1,41.58468917,0.032738377
H2-DMa,96.467875,0.011998055
H2-Eb1,96.35432563,0.035564653
H2-K1,213.1328804,0.209054679
H2-T23,98.60585943,0.01984333
H2-T3,53.2500032,0.015654173
H2afj,185.9962868,0.0089303
H2afv,261.1999171,0.005127857
H2afy,248.5753129,0.002941654
H3f3a,124.7272554,0.005400958
H6pd,94.80644765,0.007261005
Hacd2,96.77458351,0.020654391
Hacd3,46.72008256,0.009193841
Hadh,609.447374,0.01111907
Hadha,1201.12958,0.014662053
Hadhb,955.2859197,0.016832889
Hagh,129.1315552,0.197173676
Hars,105.2030489,0.003292868
Hars2,477.5190931,0.004206742
Hat1,35.52290977,0.081071421
Hbs1l,4.758770572,0.063095392
Hccs,71.8130165,0.020895564
Hdac1,140.5901577,0.009024297
Hdgf,38.43563147,0.039751136
Hdgfrp2,99.35063634,0.008698536
Hdhd3,416.3643339,0.013159667
Hdlbp,34.48407801,0.010980599
Heatr5a,98.57613985,0.009477349
Heatr5b,86.6390888,0.007732987
Hectd3,104.9732988,0.009799212
Heph,65.84292781,0.009109102
Herc4,18.43735071,0.125373411
Hexa,96.43582857,0.004123579
Hexb,181.536449,0.006974156
Hexim1,14.13632817,0.049070997
Hgs,25.02587979,0.031332374
Hibadh,275.1862252,0.009274302
Hibch,259.8487283,0.006416564
Hif1an,97.42668917,0.006027084
Higd1a,146.5068797,0.020573985
Hint1,107.1276935,0.004294835
Hint2,77.09628231,0.009286647
Hip1r,59.81022568,0.008710127
Hist1h1a,100.5155151,0.003886722
Hist1h1b,96.25503374,0.001758568
Hist1h1c,428.8944889,0.0056814
Hist1h1d,94.42062569,0.003900637
Hist1h1e,100.2573371,0.002187337
Hist1h2bc,141.3438029,0.002567316
Hist1h3b,96.22880198,0.010948595
Hk2,286.5830612,0.014590215
Hkdc1,1058.828353,0.017359693
Hmga1,97.61777297,0.01512113
Hmgb1,93.25292929,0.00731775
Hmgb2,97.70221916,0.007060752
Hmgb3,113.9025586,0.007607789
Hmgcl,601.9051366,0.017480577
Hmgcs1,61.65366513,0.067374543
Hmgn1,96.09322062,0.040425505
Hmgn5,54.00643693,0.016545803
Hmox2,305.676297,0.02624667
Hn1,18.50562042,0.030186499
Hn1l,82.97720225,0.01287613
Hnf4a,76.58435103,0.023919184
Hnf4g,30.51883267,0.016854117
Hnrnpa0,113.0253012,0.036412218
Hnrnpa1,275.4860978,0.00858087
Hnrnpa2b1,40867.39201,1.598076796
Hnrnpa3,300.2317672,0.010424212
Hnrnpab,45.53331543,0.00560761
Hnrnpc,529.2751881,0.015884896
Hnrnpd,1644.40979,0.012482973
Hnrnpdl,77.60794345,0.016818542
Hnrnpf,37.65089277,0.010237275
Hnrnph1,97.19495916,0.011693321
Hnrnph2,13.82354766,0.138645264
Hnrnpk,54.10780322,0.004754477
Hnrnpl,1464.329547,0.039878525
Hnrnpll,50.8107041,0.008388451
Hnrnpm,307.3683366,0.007875668
Hnrnpul1,52.99384399,0.025292137
Hnrnpul2,107.6082718,0.010424602
Hook1,12.00978439,0.006810589
Hook2,48.55056772,0.019888841
Hp1bp3,54.65281042,0.006843438
Hpgd,88.84657641,0.008385821
Hras,78.11931794,0.017583068
Hrsp12,96.76463353,0.008077774
Hscb,92.02081308,0.009639435
Hsd17b10,445.2105928,0.00366765
Hsd17b11,172.918674,0.025103441
Hsd17b12,440.0505055,0.010063028
Hsd17b2,86.4898584,0.009409771
Hsd17b4,563.8242295,0.01526592
Hsd17b6,81.83647792,0.010493285
Hsd3b3,98.50412924,0.009200427
Hsdl2,71.9433636,0.008318906
Hsp90aa1,148.3283677,0.007012501
Hsp90ab1,92.41041738,0.005143085
Hsp90b1,719.6288302,0.006510017
Hspa12a,99.58633217,0.013182367
Hspa13,34.8028645,0.018698335
Hspa1b,547.4800189,0.012536574
Hspa4,114.0735227,0.004612291
Hspa4l,31.77236248,0.005377362
Hspa5,408.7111974,0.004699722
Hspa8,133.212673,0.006403971
Hspa9,1355.592324,0.011101636
Hspd1,2937.505438,0.006964342
Hspe1,1623.574502,0.003547849
Hsph1,311.9193232,0.00661981
Htatip2,106.5512021,0.007737676
Htra2,95.87043895,0.00549138
Huwe1,98.7141257,0.008718374
Hyou1,218.9994738,0.002375632
Iah1,103.024499,0.006575593
Iars,116.3281044,0.005119983
Iars2,244.516769,0.008216568
Iba57,253.6473501,0.010326683
Ict1,106.9275718,0.013886317
Ide,63.80968539,0.007639746
Idh1,142.4564316,0.003229733
Idh2,581.6075329,0.002994467
Idh3a,878.5888988,0.007313168
Idh3g,369.6790939,0.010114998
Idi1,37.75469585,0.006606066
Ier3ip1,99.54831077,0.008919482
Ifi27l2b,101.2385997,0.014985625
Ifi30,24.86072441,0.011963515
Ifi35,112.2063831,0.018318433
Ifih1,34.36222137,0.010669066
Ifit1,284.5354487,0.026040818
Ifrd1,96.89501363,0.013930927
Igbp1,58.53570451,0.004783414
Igf2bp2,63.32608025,0.006591678
Igf2r,15.98069646,0.009001747
Ik,99.05235288,0.019114167
Ilf2,100.0039994,0.023735121
Ilf3,354.9887489,0.013448822
Ilk,106.044842,0.006752755
Ilvbl,143.4687053,0.018710529
Immt,1003.087726,0.015357173
Impa1,69.83683408,0.002693818
Impad1,37.85096635,0.055498316
Impdh2,52.28878623,0.040641145
Inadl,98.19798987,0.00319936
Inpp1,19.60963581,0.072829294
Insr,85.29736183,0.009847054
Ipo5,79.82622294,0.009237375
Ipo7,51.33590706,0.009581065
Iqgap1,106.806783,0.004963849
Iqgap2,88.67185889,0.006211126
Irak4,93.80549836,0.010955931
Irgm1,588.734223,0.008124025
Isca2,167.6232384,0.010716359
Iscu,62.25828593,0.009560214
Isoc1,415.3105283,0.023619319
Ist1,125.0949631,0.013820401
Isyna1,73.65535024,0.013119381
Itga2,101.2947588,0.004750576
Itga3,65.96637992,0.014865343
Itga6,108.6602784,0.024966368
Itgav,99.06122516,0.007871042
Itgb1,136.4016419,0.010518777
Itgb4,137.8011185,0.022282884
Itgb6,96.84846914,0.012925624
Itm2b,16.92814779,0.042277049
Itpa,145.2787615,0.004672227
Itpk1,112.2950278,0.015130022
Itpr3,37.59680633,0.003469264
Ivd,916.3764622,0.010405772
Jagn1,80.94369674,0.026583403
Jup,588.2828988,0.032940734
Kalrn,98.27048725,0.014306224
Kars,148.0310087,0.004892391
Kbtbd11,98.91608716,0.008448192
Kctd5,96.22342229,0.004237307
Kdm1a,41.2943205,0.01188918
Kdm5a,97.66762804,0.016372562
Kdsr,65.44309135,0.008995467
Keap1,67.65107977,0.011850096
Khdrbs1,88.43863302,0.015575904
Khk,45.85633844,0.008236614
Khsrp,72.73179445,0.00685206
Kif13a,210.2131308,0.003416953
Kif2a,51.37432736,0.008090649
Kif5b,33.13672976,0.003970288
Klc4,103.8532384,0.012581696
Kntc1,83.85904997,0.008306214
Kpna1,39.47691266,0.016122529
Kpna2,71.04562837,0.033889092
Kpna3,69.37939019,0.013626093
Kpna4,49.17385146,0.020783988
Kpnb1,240.3225677,0.00818842
Kras,159.4763029,0.018558033
Krt18,1048.408833,0.029443911
Krt19,745.8511944,0.005779183
Krt20,394.4372594,0.009461291
Krt8,624.8646075,0.005925666
Krtcap2,68.23162596,0.015374818
Ktn1,13.8114925,0.004607552
L2hgdh,42.56368379,0.007246534
Lace1,98.69928712,0.005871683
Lactb,58.27494926,0.009596234
Lactb2,95.51991999,0.014360082
Lad1,426.125315,0.008299022
Lama3,96.08823395,0.213190717
Lamp1,84.5279771,0.024368449
Lamp2,46.05349655,0.012090913
Lamtor1,95.02067965,0.020376623
Lamtor4,220.0335635,0.004196575
Lamtor5,96.64817169,0.004421382
Lancl2,84.22022564,0.009151586
Lap3,437.9441314,0.008120903
Larp1,19.63946732,0.054916101
Larp4,52.10646667,0.022670518
Larp4b,8.736998729,0.021776546
Larp7,28.82534409,0.018697986
Lars,63.4089072,0.004577554
Lars2,65.520794,0.018456878
Lasp1,159.5017147,0.00394214
Lbr,1078.820181,0.005866957
Lclat1,176.5444931,0.011429405
Lcp1,357.4359513,0.006422061
Ldb3,46.63034017,0.011332175
Ldha,387.2913097,0.009136308
Lemd2,106.3515669,0.008411358
Leng9,95.62442944,0.021869918
Letm1,389.899031,0.014368378
Lgals2,59.46061721,0.008207252
Lgals3,88.33169373,0.010399362
Lgals3bp,96.70116754,0.011404758
Lgals4,20.46655181,0.004086393
Lgals9,154.5483098,0.018348057
Lgalsl,99.37519577,0.004861491
Lima1,303.4876637,0.015833929
Lims1,95.7536368,0.01296891
Lin7c,73.38865524,0.011534478
Lipe,52.21526581,0.014078718
Llgl2,48.73940629,0.00991444
Lman1,167.2707718,0.007346347
Lman2,278.1397553,0.016419344
Lmbrd1,2.854090477,0.078763269
Lmbrd2,96.55529844,0.084205489
Lmna,141.6474567,0.003458483
Lmnb1,12504.4697,0.008223778
Lmnb2,27.42391436,0.009681657
Lmtk2,73.77850779,0.181155471
Lnp,98.05198883,0.009229497
Lonp1,1175.76766,0.010223321
Lonp2,77.15395155,0.021748956
Lpcat3,207.0812905,0.007189928
Lpgat1,34.13305363,0.016566106
Lpin3,41.38154275,0.018090528
Lpp,31.72450532,0.004076243
Lrba,37.44498154,0.004486833
Lrch4,112.4511494,0.008591132
Lrp1,13.20081484,0.021092912
Lrpap1,96.32809027,0.009463543
Lrpprc,2630.503751,0.009727415
Lrrc1,42.63361408,0.008205874
Lrrc16a,37.33786229,0.003900406
Lrrc19,66.49971453,0.024367238
Lrrc47,44.81491689,0.00624028
Lrrc59,1079.276924,0.015489075
Lrrc75a,97.06393126,0.035712894
Lrrfip1,77.81460618,0.018900316
Lrrfip2,201.6057377,0.153352111
Lsm12,96.59830974,0.013116441
Lsm2,158.5217627,0.007455693
Lsm3,58.83090119,0.014044471
Lsm4,65.25364475,0.008724766
Lsm8,182.0935425,0.004256028
Lsr,34.96070273,0.014746553
Lta4h,366.0051593,0.005107977
Luc7l2,28.64470853,0.019372672
Luc7l3,72.29743547,0.010933411
Luzp1,39.35916604,0.012939849
Ly75,49.02616142,0.022314282
Lyar,161.166678,0.01966118
Lyn,87.24677737,0.017942727
Lypd8,23.76405739,0.066895082
Lypla1,193.4908615,0.008178798
Lypla2,11.88367843,0.26235787
Lzic,99.01567329,0.005284265
M6pr,44.16668666,0.009483901
Macrod1,16.89377754,0.03423927
Magi1,24.14714803,0.135923545
Magi3,97.38057604,0.008683017
Magoh,908.0099061,0.013372095
Magt1,83.4948278,0.017361514
Mal2,314.6706972,0.008365495
Man1a2,98.44846592,0.017322432
Man2a1,66.84203793,0.006690419
Man2b1,36.52412899,0.008941101
Manba,97.81184237,0.010967145
Manf,136.0376807,0.005202215
Maoa,192.8552957,0.003566362
Maob,691.5623517,0.003897671
Map10,144.9027136,0.012641546
Map2k1,126.5761808,0.010011881
Map2k2,55.78132382,0.027133354
Map2k3,53.26270004,0.025505601
Map2k4,13.5841324,0.012861023
Map4,211.1939371,0.011531108
Map7,50.78948934,0.017455024
Mapk1,2567.792419,0.2511984
Mapk13,27.08133187,0.013346167
Mapk14,9.908229591,0.055856496
Mapk3,86.96031566,0.008134389
Mapre1,40.04980021,0.008671467
Marc2,472.0277451,0.012889619
March5,69.51434904,0.018667334
Marcks,397.1595944,0.005475894
Mark2,122.8749347,0.013424369
Mars,496.8177851,0.007238886
Mat2a,49.82722284,0.0085496
Mat2b,29.67641962,0.03828455
Matr3,34.38939555,0.010444347
Mavs,234.3624966,0.014072335
Mbd2,45.45650259,0.00789628
Mbl2,257.2877012,0.020725461
Mboat7,36.81121815,0.011234358
Mccc1,377.745837,0.014227941
Mccc2,573.8716818,0.007555742
Mcee,97.86701208,0.008511646
Mcfd2,563.7483627,0.002603113
Mcm2,106.5554343,0.020957118
Mcm3,89.23254727,0.014737364
Mcm4,82.71745937,0.016216854
Mcm5,71.9353679,0.03364035
Mcm6,48.45231992,0.023575395
Mcm7,83.31407805,0.015421352
Mcu,426.7710424,0.014478249
Mdh1,409.6373615,0.008823407
Mdh2,1737.168816,0.01337651
Mdp1,43.03714913,0.019351766
Me2,879.1636991,0.006468487
Mecr,491.7172928,0.003332832
Mep1a,97.29665736,0.009169686
Mep1b,454.170286,0.026872615
Mesdc2,337.3204788,0.006905226
Metap1,70.56476302,0.007877328
Metap2,61.16781422,0.013082076
Mettl7b,134.6531587,0.010386815
Mfn1,89.45700795,0.008538279
Mfn2,52.72872366,0.019459346
Mga,96.32397702,0.004972349
Mgat1,148.6513126,0.00734896
Mgat2,31.4557209,0.013411747
Mgat4a,26.6651226,0.008021372
Mgst1,365.9369422,0.002097983
Mgst3,26.42287571,0.035314372
Mia2,579.5625786,0.025892483
Mia3,14.61180252,0.004162859
Mical1,94.52218361,0.006756088
Micall2,33.35765524,0.01325729
Micu1,119.9846029,0.011563725
Micu2,229.940826,0.018160315
Mien1,100.0962269,0.011147155
Mif,22.64228371,0.150519953
Minos1,52.45851848,0.008001827
Misp,616.7400128,0.035970106
Mki67,54.09432666,0.020330065
Mkl1,29.48565936,0.023891002
Mlec,135.8374598,0.007664194
Mllt4,47.44300083,0.009085501
Mlycd,42.44299602,0.033269005
Mmaa,260.4426848,0.019133751
Mme,99.28630489,0.015883718
Mob1a,95.20416643,0.007742584
Mob2,58.86256818,0.008501548
Mob4,69.77450795,0.012119658
Mocs1,81.41115595,0.023590442
Mogat2,221.5271197,0.009075874
Mogs,309.0061607,0.015648678
Mov10,74.65879974,0.007552739
Mpc1,822.4776277,0.010612078
Mpdu1,100.3067075,0.008157605
Mpi,59.23520021,0.005922652
Mpp1,225.0300537,0.008067144
Mpp5,97.13233329,0.004391474
Mpst,95.47618942,0.042462773
Mri1,35.64949808,0.012230519
Mrpl1,383.9413351,0.010906446
Mrpl10,95.16473599,0.005653654
Mrpl11,258.9843604,0.006179341
Mrpl12,289.2555262,0.004052618
Mrpl13,3579.390218,0.086856583
Mrpl15,70.39324745,0.02358068
Mrpl16,32.8413257,0.01194362
Mrpl18,62.11616373,0.005437433
Mrpl19,561.9890548,0.009944561
Mrpl20,96.72112657,0.009198557
Mrpl21,128.6813472,0.007733505
Mrpl22,466.495217,0.01237275
Mrpl23,52.79636546,0.00547647
Mrpl24,54.3900663,0.021512373
Mrpl27,188.0283502,0.042181418
Mrpl28,60.48387991,0.013734383
Mrpl3,142.4154309,0.011941849
Mrpl30,41.58070884,0.014863887
Mrpl32,125.8229944,0.011191653
Mrpl37,211.9036682,0.007702467
Mrpl38,66.12360691,0.025687067
Mrpl4,37.049821,0.022148247
Mrpl40,412.4369004,0.022536381
Mrpl41,327.4883301,0.008314934
Mrpl42,81.78638214,0.005325301
Mrpl43,707.9566155,0.00896762
Mrpl44,195.4823392,0.004366154
Mrpl45,52.93264447,0.008017119
Mrpl46,490.1124901,0.015678977
Mrpl47,53.05206859,0.013438063
Mrpl49,303.5510805,0.018441086
Mrpl50,148.155144,0.005893579
Mrpl55,49.49732271,0.023475174
Mrpl9,482.9916382,0.024203077
Mrps10,473.7096739,0.011095188
Mrps11,137.4777228,0.033647037
Mrps14,68.32157022,0.011728905
Mrps15,77.9339947,0.026051401
Mrps17,136.385605,0.010657813
Mrps18b,76.64565868,0.023303937
Mrps2,702.0753069,0.008081475
Mrps21,48.5464952,0.02452928
Mrps22,990.5539249,0.002071904
Mrps23,176.3121779,0.005095157
Mrps25,60.10303099,0.0222321
Mrps26,246.8232341,0.014215157
Mrps27,1300.904043,0.002771222
Mrps28,186.1251287,0.022018165
Mrps30,329.1488388,0.013828517
Mrps31,145.7135536,0.013284923
Mrps33,100.3474331,0.02208871
Mrps35,135.3393332,0.011987815
Mrps36,174.4366941,0.007637965
Mrps5,95.85262477,0.00575385
Mrps6,351.5137578,0.00477366
Mrps7,202.5786604,0.008124692
Mrps9,152.8706879,0.006715324
Mrrf,230.9131253,0.005980614
Mrvi1,97.43477101,0.030162375
Ms4a10,97.65363184,0.010189179
Msra,146.5049749,0.004299016
Mta2,109.8527866,0.01116512
Mta3,42.8274566,0.013803939
Mtch2,173.0265151,0.017123741
Mtdh,54.7438732,0.003491558
Mtfr1l,55.61770214,0.00888591
Mthfd1,151.5333835,0.003858871
Mthfd1l,112.9241764,0.005722349
Mtif2,26.30902683,0.015134444
Mtm1,97.75810987,0.01141301
Mtor,14.98040444,0.404276749
Mtpn,126.6030224,0.00694432
Mtrf1l,96.83937687,0.008110007
Mttp,412.3322456,0.01639033
Mtus1,38.66818893,0.020297493
Mtx1,668.7070528,0.014890897
Mtx2,142.2544772,0.021095565
Muc13,90.72962298,0.02650399
Mut,277.2572327,0.010619151
Mvp,331.0098098,0.005514356
Mybbp1a,336.537603,0.006707174
Mydgf,575.9839047,0.012798431
Myg1,78.31762833,0.021842663
Myh14,2710.779583,0.045114124
Myh9,3621.935335,0.015516819
Myl12b,793.7520663,0.009238731
Myl6,311.9785148,0.010591407
Mylk,15.97229609,0.005096808
Myo18a,123.6630895,0.021550977
Myo1a,401.4775885,0.009611451
Myo1c,48.42362953,0.01198488
Myo1d,361.2401149,0.009028429
Myo1e,147.377027,0.017899618
Myo5b,38.467533,0.009311727
Myo6,317.3084655,0.009337768
Myo7a,32.3723057,0.01113135
Myo7b,141.9858423,0.01949683
Naa15,25.6544687,0.010208561
Naa50,52.14415194,0.03681693
Naaladl1,221.9451802,0.008979422
Naca,91.88854954,0.007479803
Nadk2,368.889898,0.001107236
Nadsyn1,99.61179603,0.014051711
Nae1,34.57744656,0.007230888
Naga,55.50519737,0.010561687
Nagk,663.7603483,0.129969859
Naip1,96.25228797,0.005428928
Nampt,45.96274897,0.006066628
Nap1l4,58.05061292,0.007680423
Napa,703.5176675,0.022530458
Napg,276.0617789,0.011338571
Naprt,157.4310405,0.022962713
Nars,134.9904881,0.004122873
Nasp,198.2817192,0.008734968
Nat2,60.62562346,0.00736084
