gene,beta_0,delta_0
Apoe,116.8689448,0.037348015
Apoo,1025.624167,0.014086307
Apool,1087.305182,0.006288451
App,4.433615713,0.019795482
Aprt,38.72072216,0.006430892
Aqp1,240.1704399,0.013900024
Aqr,61.52559727,0.01094167
Araf,63.25946006,0.013055343
Arcn1,84.33333311,0.005706522
Arf1,185.8242995,0.004479087
Arf4,179.0874474,0.005987751
Arf5,46.17604288,0.005467853
Arf6,79.5052838,0.058580681
Arfgap1,47.31456696,0.009666443
Arfgap2,99.80764246,0.006943749
Arfgap3,119.7994174,0.014028589
Arfgef1,89.77694879,0.01218634
Arfip2,26.10584416,0.169670692
Arg2,454.6480316,0.010525271
Arglu1,69.01487846,0.017824358
Arhgap1,78.4111792,0.003970826
Arhgap17,47.47367953,0.01703219
Arhgap18,78.11553706,0.006932846
Arhgap26,96.84162518,0.007310812
Arhgdia,386.6536149,0.002493682
Arhgef16,77.4307188,0.01274446
Arhgef5,97.88420885,0.017327618
Arhgef7,57.97062736,0.009044068
Arid1a,83.30779586,0.01472809
Arih1,79.7030072,0.008944525
Arl1,39.64902785,0.011008552
Arl2,97.97604088,0.010951144
Arl6ip1,28.69475323,0.096412149
Arl6ip5,76.94060273,0.250915799
Arl8b,174.4761496,0.019666865
Armc1,76.68792285,0.010375319
Armc10,582.9084047,0.418552605
Arpc1b,139.0689661,0.011271957
Arpc2,60.59646811,0.005512819
Arpc3,194.045833,0.010990721
Arpc4,470.9467133,0.008776437
Arpc5,193.069101,0.007120092
Arpin,175.4224529,0.007053489
Arrb1,77.03947507,0.010935919
As3mt,120.4794465,0.003320364
Asah2,329.8260492,0.033587896
Asap2,177.4006915,0.02364504
Ascc2,13.65771949,0.14219721
Ascl3,98.19854328,0.008961494
Asl,99.23849604,0.00562651
Asna1,164.6598129,0.006542008
Aspa,47.00017003,0.007562008
Aspscr1,97.09301269,0.017978024
Atad1,135.1203189,0.022974759
Atf3,98.75058889,0.158919094
